computer speech and language,,high performance embedded computing,computer science and data analytics,compute science,information systems and management,,"electrical engineering, computer science",,science with computer science ,,information science engineering,biomedical engineering  computer science,business administration management,,professional certificate,,vlsi design tools and techlonogy,,computer science and mathematics,electronics and science,cybersecurity and forensics,,"computer repair, networking",major  sciences; minor  mathematics,,embedded systems,"computer programmingprogrammer, general",materials,major mechanical engineering minor computer science,,"electrical and electronic engineering, msc in communication and signal processing","information systems, economics, physics, applicable mathematics, english",,selling skills and sales operations,,psychology,electical engineering,,finance and economics,,software development,,science degree - network administration,"mathematics and engineering, control and communications",digital currency,jewishjudaic studies,,project lead the way program,electronic engineering,,statistics with a graduate minor in computational science,,,,,,,,,,,,computer-aided drafting  design,master in industrial management,,industrial distribution,,,,"mathematics, computer science, physics, chemistry and english",electrical and communications engineering,,,,packaging value chain,,chemical engineering; project management,,,"electricalcomputer engineering, mathematics",mechanics and automotive,finance and international business,,,,business analytics,theatre management and producing,industrial statistics,,data science  engineering,,,e-commerceelectronic commerce,,,,,,,,"cybersecurity, information security",double electrical engineering and physics,professional information engineering technology,,,,,,,information and communication engineering,,leadership in the public sector,,material science and engineering,,,,,,computational informatics,python  programming specialization,,,,,,research - machine learning,unix systems administration,,,economics of education,,,,,,,,business- finance,,engineering technology in computers,,,,geology-biology,,,
japanese language and literature,,scientific computing,data analytics,material science,information management  information systems,,computer science  electrical engineering,,computer engineering computer science,,opto-electronics information science and engineering,biomedical informatics,business administration,,,,mixed signal vlsi,,"mathematics and computer science, computer engineering","engineering, radiophysics and electronics",,,networking,planetary sciences (subdiscipline of physics),,,"military intelligence, general",metallurgical and materials engineering,mechanical drafting and mechanical drafting cadcadd,,communication and signal processing,"php,dbms,quantitative techniques,hr mgmt, marketing mgmt,economics,operating system",,,,psychology  computer science,plastics engineering,,"computer science, finance",,software engineering; as computer programming; computer programing and engineering,,network and system administrationadministrator,"electrical engineering (signals, control, and optimization)",communications in digital media,multiinterdisciplinary studies,,,electronic publishing specialist,,major in biomedical engineering with a minor in business,,,,,,,,,,,,fashionapparel design,msc - master of computer sciences,,industrial technology,,,,"physics, chemistry, mathematics, knowledge  inquiry","electrical, electronics and communications engineering",,,,,,,,,mathematics and applied mathematics,medical billing and coding,international relations and affairs,,,,,sport management,computer science  statistics,,data processing,,,a+ certification,,,,,,,,security and risk analysis,physics and computer science,information systems technology,,,,,,,communication theory and systems,,,,nanoscale science and engineering,,,,,,biophysics,computer science (specialization in ai and os),,,,,,machine learningdata science,is-expert - distributed systems,,,junior,,,,,,,,business finance data science,,instructional technology,,,,mathematics and biology,,,
c programming language,,mathematics and computing,data science  analytics,political science and government,management - information systems,,"electrical and computer engineering, integrated circuit design",,computer science (engineering),,electronics and information science,"electrical engineering, specialization in biomedical engineering","business administration, management and operations",,,,electrical engineering (vlsi),,"computer science, mathematics",,,,computer networking,atmospheric sciences and meteorology,,,"military strategic studies, general",structures and materials in aeronautics and astronautics engineering,mechanical engineering and mathematics,,signal processing,,,,,organizational leadership,mechanicalmanufacturing engineering,,public policy,,"computer engineering, software engineering",,bachelor's degree,control science and engineering,fiber optics,intelligence studies,,,electronic science and technology,,computer science with cybersecurity minor,,,,,,,,,,,,multimediaweb design,bachelor of applied science in organizational leadership,,industrial and operations engineering  data science,,,,"mathematics, physics, chemistry, biology and languages",cisco certified internetwork expert (ccie routing  switching) lab training,,,,,,,,,"mathematics, cs certificate","cityurban, community and regional planning",international transactions and comparative law,,,,,engineering management,statistics and econometrics,,big data in culture and society,,,application development,,,,,,,,public policy analysis,applied physics,information and communication technology,,,,,,,organizational communication,,,,,,,,,,,,,,,,,specialization machine learning,l (l) tats cable systems  installer-maintainer,,,,,,,,,,,"business administration, finance concentration",,aviation maintenance technology,,,,oncology and cancer biology,,,
"english language and literature, general",,java and cloud computing(aws),data science - business  industrial analytics,"computer science, concentrating on ai",accouting information systems,,electrical  computer engineering,,computer science  spanish,,,"mechanical engineering, minor biomedical engineering",business administration and finances,,,,"computer engineering, vlsi design concentration",,mathematics and science,,,,"system, networking, and lanwan managementmanager",arts and sciences,,,"businesscommerce, general",aeronautics,mechanical engineering mechanical engineering; technology ug,,"signal processing, instrumentation, automation, data analysis, algorithms",,,,,,structural engineering,,,,electrical engineering (computer hardware and software),,lab technician,ee,"radio, television  film",french studies,,,electronic circuits and systems,,psychology and political science with a minor in business,,,,,,,,,,,,graphic design,faculty of foreign languages,,,,,,mathematics physics chemistry,"interdisciplinary program with focus in communications, fine arts photography, sociology",,,,,,,,,optics applied mathematics,high schoolsecondary diplomas and certificates,international business and economics,,,,,engineering project management initiating and planning,math statistics and probability,,,,,game development,,,,,,,,,physics part ii  spanish part b,information technology,,,,,,,communication engineering,,,,,,,,,,,,,,,,,"machine learning, modeling and simulation",,,,,,,,,,,,concentrations in small business  political science,,,,,,spanish,,,
,,information and computing science,data management and data analytics,"computer science, commerce (double degree)",information management and systems,,electrical engineering  computer science,,computer commucations,,,electrical and biomedical engineering,business administration and management,,,,architecture,,"english, science and mathematics with biotechnology",,,,,biological sciences,,,"biologybiological sciences, general",,mechanical engineeringmathematics,,discrete algorithms,,,,,,optoelectronic engineering,,,,software engineering (cybersecurity),,,,mit media lab,"multi-interdisciplinary studies, business",,,"electrical, electronic and communications engineering technologytechnician",,"computer engineering, with minor in applied mathematics",,,,,,,,,,,,user experience design,graduate diploma of counselling and psychotherapy,,,,,,mpc,cisco certified internetwork expert (ccie voice) lab training,,,,,,,,,computational and applied mathematics,automotivecollision and repair technologytechnicianmanagement,organizational and international business,,,,,"business, management","psycholgoy, statistics",,,,,urban economic development,,,,,,,,,eecs - solid state physics,computer programming and information technology,,,,,,,communication systems engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cumulative   (converts to ),,,,,,biochemistry,,,
alumni,,information  computing science,data analytics and visualization,actuarial science,management information systems and finance,,electrical engineering computer science,,computer science  engineering,,,major biomedical eng; minor mechanical eng,business administration and international studies,,,,,,,,,,,faculty of economics and administrative sciences,,,"marketingmarketing management, general",,electro-magnetics,,,,,,,,petroleum engineering(reservoir simulation),,,,"computer science, specialty software engineering",,,,study abroad,classical studies,,,"electrical, electronic and communications engineering",,concentration in marketing with a minor in leadership studies,,,,,,,,,,,,interior architecture  design,aassociate of arts,,,,,,,,,,,,,,,,applied mathematics,analog and mixed signals,international trade,,,,,management - management of information systems - risk management,mathematics  statistics,,,,,,,,,,,,,,"physics, government policy",,,,,,,,"strategic communication, advertising",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geology,,,
microsoft,,java,business intelligence and data analytics,"computer science, creative writing","business management, minor management information systems",,electrical and computer engg,,computer science (games),,,bioengineering,business journalism,,,,,,,,,,,mathematical sciences,,,"health servicesallied healthhealth sciences, general",,,,,,,,,,automotive engineering technologytechnician,,,,software systems,,,,,integrated studies computer science  business leadership,,,microelectronics and solid electronic,,"computer science, minor in mathematics",,,,,,,,,,,,analog ic design,,,,,,,,,,,,,,,,,cs,training and assessment,educational theatre,,,,,economics and management,statistics with emphasis on health science,,,,,,,,,,,,,,,,,,,,,,"digital communication, computer architecture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,,,data analytics (big data),political science,information systems,,electrical and computer engineering (computer engineering),,honours computer science,,,,public administration,,,,,,,,,,,ceramic sciences and engineering,,,healthhealth care administrationmanagement,,,,,,,,,,electricalelectronics engineering,,,,software  teaching,,,,,computer science and french studies,,,microelectronics,,"electronics, minor in management",,,,,,,,,,,,autodesk inventor molde design,,,,,,,,,,,,,,,,,,mathematic and economic,,,,,,project management,,,,,,,,,,,,,,,,,,,,,,,dsp  communication systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infantry,,,business data analytics,environmental geo-science,business information systems,,electrical and computer,,computer and video imaging,,,,cis,,,,,,,,,,,"mathematics,sciences",,,,,,,,,,,,,rf engineering,,,,computer science and software engineering,,,,,spanish languge and multicultural studies,,,,,"systems engineering, with physics minor",,,,,,,,,,,,rfmixed signal ic design,,,,,,,,,,,,,,,,,,geophysics and seismology,,,,,,management science,,,,,,,,,,,,,,,,,,,,,,,technical operator ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,,,"information systems management, business intelligence and data analytics",quantitative methods and causal inference in social science,creative writing; geographic information systems (gis),,electrical and computer engineering,,computer science and business,,,,business analysis,,,,,,,,,,,brain and cognitive sciences,,,,,,,,,,,,,computer engineering  society,,,,computer science - software engineering,,,,,filmcinemavideo studies,,,,,actuarial science with computer science minor,,,,,,,,,,,,design engineering,,,,,,,,,,,,,,,,,,,,,,,,management for scientists and engineers,,,,,,,,,,,,,,,,,,,,,,,advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,,,,military science,,,"electrical and computer engineering, computer science",,bsc computer science,,,,,,,,,,,,,,,computer sciences,,,,,,,,,,,,,metallurgical engineering,,,,software engineering technology,,,,,german studies,,,,,"computer science  data science, minor in entrepreneurship",,,,,,,,,,,,systems design engineering,,,,,,,,,,,,,,,,,,,,,,,,reliability engineering and asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 c,,,,packaging science,,,"computer engineering, electrical engineering, minor in computer science",,computer science with co-op,,,,,,,,,,,,,,,"liberal arts and sciences, general studies and humanities",,,,,,,,,,,,,petroleum engineering,,,,,,,,,communication and media studies (focus sales  marketing),,,,,computer science; minor in business economics,,,,,,,,,,,,analog  mixed signal ic design,,,,,,,,,,,,,,,,,,,,,,,,infomation management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcmb,,,,environmental science,,,eecs,,"political science, computer science",,,,,,,,,,,,,,,sciences,,,,,,,,,,,,,computaional and mathematical engineering,,,,,,,,,,,,,,businesscorporate communications minor in global business,,,,,,,,,,,,autodesk inventor professional,,,,,,,,,,,,,,,,,,,,,,,,"management, emphasis in experience industry, event and venue management track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcms,,,,,,,ece,,computer scienceengineering,,,,,,,,,,,,,,,opticsoptical sciences,,,,,,,,,,,,,engineering mechanics,,,,,,,,,,,,,,computer science with minor in business administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,business management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote sensing,,,,,,,,,computer engineering and computer science,,,,,,,,,,,,,,,"information systems and decision sciences, concentration mis",,,,,,,,,,,,,computer sc  engineering,,,,,,,,,,,,,,information secuity with cisco minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,business entrepreneurial  management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinema,,,,,,,,,computer science - computer security,,,,,,,,,,,,,,,"health sciences,",,,,,,,,,,,,,computer engineering with hardware concentration,,,,,,,,,,,,,,graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,management and economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaaa,,,,,,,,,"computer engineering, computer science",,,,,,,,,,,,,,,media arts  sciences,,,,,,,,,,,,,concentration in engineering,,,,,,,,,,,,,,english with concentration in professional and new media writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geophysics,,,,,,,,,computer engineering | computer science - intelligence,,,,,,,,,,,,,,,animal sciences,,,,,,,,,,,,,transportation engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineerng management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawo,,,,,,,,,"computer science, business",,,,,,,,,,,,,,,media arts and sciences,,,,,,,,,,,,,e-commerce engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"media planning, buying  analysis; social media management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paralegal,,,,,,,,,computer science (mcit),,,,,,,,,,,,,,,meteorology,,,,,,,,,,,,,automotive engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core musical skills,,,,,,,,,computer science and engg,,,,,,,,,,,,,,,,,,,,,,,,,,,,chemcial and biomolecular engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mandarin level ii  iii,,,,,,,,,computer science (game development),,,,,,,,,,,,,,,,,,,,,,,,,,,,"engineering, ai  ml techniques",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hypokhâgne, khâgne",,,,,,,,,"masters of science, computer science,",,,,,,,,,,,,,,,,,,,,,,,,,,,,masters of engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mscs,,,,,,,,,"computer science, gold medalist",,,,,,,,,,,,,,,,,,,,,,,,,,,,advanced engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puc,,,,,,,,,cse (computer science and engineering),,,,,,,,,,,,,,,,,,,,,,,,,,,,rf and microwave engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,"computer science, min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigdata,,,,,,,,,icse - computer science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
react,,,,,,,,,computer science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrology,,,,,,,,,computer science and engineereing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechano-infomatics,,,,,,,,,computer application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,,,,,,,,,computer aided drafting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orcale,,,,,,,,,personal computer technician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eie,,,,,,,,,computer support specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criminology,,,,,,,,,computer sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electrician,,,,,,,,,computer coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electronica,,,,,,,,,cse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schooling,,,,,,,,,oregon transfer degre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (dean's list),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precision instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percentage - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sociology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lean six sigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
certified installer  tuner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electrochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingenieria en sistemas de informacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvacr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cybernetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
english and italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmaceutics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
registered nursingregistered nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board examinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electonics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessoffice automationtechnologydata entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astrophysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spécialité physique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apprentissage statistique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iim-lucknow noida campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
