courses_title,degree_field,url,skills,skill_1,skill_2,skill_3,cert_titles
[''],['Quantitative Economics and Mathematics'],https://www.linkedin.com/in/jim-mathers-860ba362,"['Configuration Management', 'Troubleshooting Proficiency', 'Cybersecurity']",network configuration,troubleshooting,security,"['Kepner-Tregoe Certified Program Leader', 'Cisco Certified Internetwork Expert Routing and Switching (CCIE-RS)', 'Cisco Certified Internetwork Expert Enterprise Infrastructure (CCIE Enterprise Infrastructure)']"
[''],"['Data Science and Management', 'Network Engineering and Administration', 'Communications and Electronics Engineering', 'Communications and Electronics Engineering', 'Network and Computer Systems', 'Communications and Electronics Engineering']",https://www.linkedin.com/in/ramzanm,"['IT Management', 'Cybersecurity', 'Technical Proficiency']",firewall management,network security,ip addressing,"['PCCSE - Prisma Certified Cloud Security Engineer', 'AWS Certified Cloud Practitioner', 'Google Cloud Certified Professional Cloud Network Engineer', 'Microsoft Certified: Azure Solutions Architect Expert', 'Exam Prep: AWS Certified Advanced Networking - Specialty (ANS-C01)', 'Google Cloud Certified Professional Cloud Architect', 'Microsoft Certified: Azure Administrator Associate', 'Microsoft Certified: Azure Security Engineer Associate', 'Microsoft Certified: Azure Network Engineer Associate', 'AWS Academy Graduate - AWS Academy Cloud Foundations', 'Aviatrix Certified Engineer - Multi-Cloud Network Associate (ACE)', 'Palo Alto Networks Certified Security Engineer (PCNSE)', 'NSE 1 Network Security Associate', 'Palo Alto - Accredited Configuration Engineer (ACE)', 'DCNID : Cisco Data Center Networking Infrastructure Design Specialist', 'Cisco Certified Specialist - Enterprise Design', 'CCDA : Cisco Certified Design Associate', 'CCDP : Cisco Certified Design Professional', 'Cisco Certified Specialist - Enterprise Advanced Infrastructure Implementation', 'Cisco Certified Specialist - Enterprise Core', 'CCNP RS: Cisco Certified Network Professional', 'CCNP Voice: Cisco Certified Network Professional Voice', 'CCNA Voice : Cisco Certified Network Associate-Voicee', 'CCNA : Cisco Certified Network Associate', 'Cisco Certified Design Specialist', 'Cisco Certified Internetwork Expert Data Center (CCIE Data Center#4439X)', 'AWS Certified Cloud Practitioner', 'Prisma Certified Cloud Security Engineer', 'Cisco Certified Networking Professional -Enterprise', 'Cisco Certified Specialist - Enterprise Core', 'CCIE : Cisco Certified Internetwork Expert, CCIE Collaboration (Written)', 'CCIE : Cisco Certified Internetwork Expert, CCIE RS (Written)', 'CCIE : Cisco Certified Internetwork Expert, CCIE Security V4.0 (Written)']"
[''],[],https://www.linkedin.com/in/brandon-eisenmann-49979263,"['Software Testing and Quality Assurance', 'Technical Techniques', 'Risk and Vulnerability Management']",penetration testing,ethical hacking,security assessment,"['PA QSA', 'PCI QSA']"
[''],"['Electrical Engineering and Related Disciplines', 'Electrical Engineering and Related Disciplines']",https://www.linkedin.com/in/eric-leano-1010065,"['Debugging and Troubleshooting', 'Computer Technology', 'Debugging and Troubleshooting']",debugging techniques,raspberry pi setup,javascript debugging,['MEF 2.0 Certification']
[''],"['Information Technology and Management', 'Computer Science and Engineering']",https://www.linkedin.com/in/alex-n-cole,"['Kubernetes Cluster Management and Orchestration', 'Cloud Engineering and Management', 'IT Management']",kubernetes security,cloud computing,identity management,"['VMware Certified Professional 6 – Data Center Virtualization', 'Security+', 'VCP5-DCV (510)']"
[''],['Electrical and Computer Engineering'],https://www.linkedin.com/in/jun-de-ocampo-861926a7,"['IDE Proficiency and Navigation', 'IT Management', 'Web Development Expertise']",attribute usage,package management,web application development,[]
[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/ajit-natarajan-37862b4,"['Linux Kernel Mastery', 'Data Analytics Suite', 'Troubleshooting Proficiency']",kernel development,semantic analysis,troubleshooting os,[]
[''],[],https://www.linkedin.com/in/keejong-kim-91523425,"['Audio Synthesis and Modular Techniques', 'Intelligent Content Creation', 'Animation Mastery']",sound synthesis,idea generation,animation techniques,[]
[''],[],https://www.linkedin.com/in/chandraprasad,"['Cloud Infrastructure Expertise', 'Integration Expertise', 'Virtualization Expertise']",cloud infrastructure management,signalr integration,azure virtual desktop configuration,[]
[''],['Electrical Engineering and Related Disciplines'],https://www.linkedin.com/in/kathrynparker,"['Technical Support and User Experience', 'Ideation and Prototyping', 'IT Management']",remote collaboration,visual prototyping,stakeholder management,[]
[''],['Computer Science and Engineering'],https://www.linkedin.com/in/schantzabigail,"['Programming Paradigms', 'Engineering and Design Best Practices', 'IT Fundamentals']",object-oriented programming,graphic design principles,typography fundamentals,[]
[''],['Electrical Engineering and Electronics'],https://www.linkedin.com/in/shafadahandeh,"['Network Expertise', 'Troubleshooting Proficiency', 'Technical Software Proficiency']",network concepts,hardware troubleshooting,command-line proficiency,['Preventing Workplace Harassment']
[''],"['Information Systems Management and Technology', 'Business and Administration']",https://www.linkedin.com/in/john-le-b551357,"['Cloud Infrastructure Expertise', 'Database Expertise', 'Data Manipulation and Querying']",cloud infrastructure management,database administration,sql development,"['Exin Cloud Computing', 'Oracle Cloud Infrastructure Foundations 2020 Certified Associate']"
[''],['Electrical Engineering and Related Disciplines'],https://www.linkedin.com/in/danielrodriguez7,"['Design Engineering', 'Software Development Best Practices', 'Debugging and Troubleshooting']",sound design,agile practices,javascript debugging,[]
[''],[],https://www.linkedin.com/in/toddcousineau,"['Design Engineering', 'Cloud and Linux Storage Management', 'Cloud Engineering and Management']",design business continuity solutions,design data storage solutions,architect cloud solutions,[]
[''],[],https://www.linkedin.com/in/nathaniel-watterson-b108104,"['Linux Kernel Mastery', 'IT Administration', 'Embedded Systems']",kernel management,system administration,embedded programming,[]
[''],"['Information Systems Management and Technology', 'Engineering and Applied Sciences', 'Engineering and Applied Sciences']",https://www.linkedin.com/in/inna-gornshteyn-b4557233,"['Cloud and Web Service Management', 'Customer Service Excellence', 'Database Administration']",it service management,customer service,oracle database management,[]
[''],['Information Technology and Management'],https://www.linkedin.com/in/greghalgren,"['Cloud and Linux Storage Management', 'Data Engineering and Management', 'Optimization']",storage management,data protection,performance optimization,[]
[''],"['Electrical and Computer Engineering', 'Electrical and Computer Engineering']",https://www.linkedin.com/in/kenledbetter,"['Design Engineering', 'Debugging and Troubleshooting', 'Code Engineering']",pcb layout,c debugging,code quality,[]
[''],"['Computer Science Applications', 'Computer Science and Engineering']",https://www.linkedin.com/in/kiranchalasani,"['Software Engineering', 'Technical Support and User Experience', 'Cloud and Web Services Technologies']",software design,user research,web services,['PMP']
[''],"['Computer Systems and Systems Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/evanpedrogreenberg,"['d modeling', 'Web Development Expertise', 'Cloud and Enterprise Architecture']",3d modeling,lamp stack,cloud architecture,[]
[''],[],https://www.linkedin.com/in/jay-tillotson-50a108a0,"['Network Expertise', 'Configuration Management', 'Ruby on Rails Development']",network management,firewall configuration,routing protocols,[]
[''],[],https://www.linkedin.com/in/charlie-albanese-a82a84,"['Business Strategy and Planning', 'Cross-Platform and Cloud Platform Management', 'Sales Management and Optimization']",strategy development,industry knowledge,sales process optimization,[]
[''],[],https://www.linkedin.com/in/thomas-porto-6a97b05a,"['Configuration Management', 'Ruby on Rails Development', 'Troubleshooting Proficiency']",network configuration,routing protocols,troubleshooting,"['CMNA', 'Palo Alto Networks Accredited Configuration Engineer', 'A+ Certification']"
[''],"['Statistical Sciences', 'Mathematical Sciences']",https://www.linkedin.com/in/debrajc,"['Data Analytics Suite', 'Data Visualization and Analysis', 'Machine Learning and Data Science']",data analysis,data visualization,machine learning,[]
[''],['Electrical and Computer Engineering'],https://www.linkedin.com/in/khoa-to-509b775,"['IoT Mastery', 'ML Model Development', 'Code Engineering']",iot device management,ai model training,c code debugging,[]
[''],[],https://www.linkedin.com/in/craigerator,"['Test Engineering', 'Concurrency Management', 'IT Management']",test automation,version control,multicloud management,[]
[''],['Information Technology'],https://www.linkedin.com/in/matthewspeckman,"['IT Management', 'IT Administration', 'Advanced Scripting and Routing']",group policy management,windows administration,bash shell scripting,[]
[''],['Systems Engineering'],https://www.linkedin.com/in/dannykpalmer,"['Software Engineering Cluster', 'Software Engineering Cluster', 'Cloud-Native Development']",ios development,react development,react native development,[]
[''],['Computational Mathematics and Engineering'],https://www.linkedin.com/in/ciemo,"['Data Analytics Suite', 'Coding Expertise', 'Data Science and Technology']",data analysis,python coding,data science functions,[]
[''],['Computer Science and Engineering'],https://www.linkedin.com/in/hartmut-penner-a9a25369,"['Software Engineering Cluster', 'Cloud and Enterprise Architecture', 'Cisco Device Management and Maintenance']",agile development,cloud architecture,linux device drivers,[]
[''],"['Computer Science and Engineering', 'Communication and Information Technology', 'International Studies']",https://www.linkedin.com/in/lu-xun-003b3a7,"['Cloud and Enterprise Architecture', 'Cloud and Web Services Technologies', 'IT Management', 'application scaling', 'Kubernetes Cluster Management and Orchestration', 'Kubernetes Cluster Management and Orchestration']",cloud architecture,azure services,resource management,[]
[''],['Music and Technology'],https://www.linkedin.com/in/westbrook-johnson-8a2a213,"['HTML Fundamentals', 'Web Development Expertise', 'Engineering and Design Best Practices']",html markup,web resilience,web design principles,[]
[''],"['General and Interdisciplinary Studies', 'Information Technology (IT) and Management', 'Mechanical Engineering and Related Fields']",https://www.linkedin.com/in/ashutosh-srivastav,"['Cloud and Enterprise Architecture', 'Optimization', 'DevOps Engineering']",technical architecture design,process optimization,devops principles,"['Oracle Cloud Infrastructure 2020 Certified Architect Associate', 'Oracle Cloud Infrastructure Foundations 2020 Certified Associate', 'Six Sigma Black Belt', 'Project Management Professional (PMP)®']"
[''],['Computational Mathematics and Engineering'],https://www.linkedin.com/in/mkobyakov,"['Foundation Skills', 'IT Fundamentals', 'IT Management']",java basics,programming fundamentals,exception management,[]
[''],"['Mechanical Engineering and Related Fields', 'Mechanical Engineering and Related Fields', 'Engineering and Applied Sciences']",https://www.linkedin.com/in/logeshnatarajan,"['Infrastructure Engineering', 'Data Analytics Suite', 'Project Management and Resource Allocation']",hybrid ad planning,nastran analysis,agile project management,"['Signal Processing with MATLAB', 'Deep Learning with MATLAB', 'Stateflow for Automotive Applications', 'Machine Learning with MATLAB', 'Simulink for Automotive System Design', 'Six Sigma Green Belt (DMAIC) - Completed']"
[''],['Information Technology'],https://www.linkedin.com/in/edblaw,"['Database Administration', 'Cloud Infrastructure Expertise', 'Database Administration']",database migration,cloud infrastructure architecture,database management,['Oracle Cloud Infrastructure Foundations 2020 Certified Associate']
[''],"['Information Technology', 'Natural Sciences and Mathematics', 'STEM (Science, Technology, Engineering, and Mathematics) Cluster']",https://www.linkedin.com/in/aman2930,"['JSON Expertise', 'JSON Expertise', 'Cloud-Native Development']",json parsing,exception handling,cloud-native development,[]
"['fire alarm system with nfpa codes: latest 2023', 'complete course water wastewater treatment', 'javascript essentials']",['Business and Administration'],https://www.linkedin.com/in/lorn-macilravie,"['Web Development Expertise', 'Simulation and Control', 'Automation Engineering']",web development,plc programming,industrial automation,['Electrician [Master]']
[''],['Electronics and Computer Systems'],https://www.linkedin.com/in/marcus-l-sorensen-b3444811,"['Risk and Vulnerability Management', 'Server Management and Development', 'Cloud Engineering and Management']",security risk assessment,server management,cloud deployment planning,[]
[''],[],https://www.linkedin.com/in/shawn-dodd-36531110a,"['Infrastructure Engineering', 'Visual Media Management', 'Communication and Interpersonal Skills']",network infrastructure,video editing techniques,assertive communication,['Electrician [Master]']
[''],[],https://www.linkedin.com/in/larry-dodd-08b74a32,"['Project Management and Resource Allocation', 'Troubleshooting Proficiency', 'Data Analytics Suite']",project planning,hardware troubleshooting,circuit analysis,[]
[''],"['Mathematical Sciences', 'Communications and Electronics Engineering']",https://www.linkedin.com/in/mohmans,"['Forecasting and Financial Management', 'Design Engineering', 'Leadership Excellence']",sales forecasting,sound design,global leadership,[]
[''],"['Computer Science and Engineering', 'Engineering and Sciences']",https://www.linkedin.com/in/brad-nelson-4339b6a9,"['IoT Mastery', 'Linux Device Driver Development', 'Project Management and Resource Allocation']",iot device management,linux command line,agile project management,[]
[''],['Computer Science and Engineering'],https://www.linkedin.com/in/prabhu-nanjappa,"['Software Development Best Practices', 'Configuration Management', 'Java Mastery']",agile methodology,cisco routing protocols,aws java development,"['IBM Certified Solution Developer XML and Related Technologies', 'Sun Certified Business Component Developer', 'Sun Certified Programmer', 'Sun Certified Web Component Developer']"
[''],['Electrical and Computer Engineering'],https://www.linkedin.com/in/mark-huang-8696716,"['Cloud and Linux Storage Management', 'Data Engineering and Management', 'Cloud and Linux Storage Management']",storage management,data protection,storage optimization,[]
[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/rajesh-varadarajan-a9a82112,"['Configuration Management', 'Interpersonal and Communication Skills', 'Cybersecurity']",network configuration,troubleshooting skills,network security,[]
[''],['Electrical and Computer Engineering'],https://www.linkedin.com/in/jason-houle-0b3497a,"['Programming Paradigms', 'Computer-Aided Design (CAD) Expertise', 'Audio Synthesis and Modular Techniques']",fpga programming,cad modeling,eurorack synthesis,[]
[''],"['Theoretical Sciences', 'Languages and Literature', 'Language and Computation']",https://www.linkedin.com/in/oana-savescu-popescu,"['Data Analytics Suite', 'Data and Modeling', 'Python Development']",data analysis,predictive modeling,python programming,"['Coaching and Developing Employees', 'Psychological Safety: Clear Blocks to Innovation, Collaboration, and Risk-Taking']"
"['computational linear algebra', 'computational optimization', 'data mining', 'deep learning', 'functional analysis', 'information theory', 'machine learning', 'mathematical finance', 'optimization methods data analysis processing', 'probabilistic graphical models', 'regression analysis', 'uncertainty quantification']","['Mathematical Sciences', 'Mathematical Sciences', 'Mathematical Sciences', 'Digital Media and Communications']",https://www.linkedin.com/in/andres-vargas-phd,"['Machine Learning and Data Science', 'Data Analytics Suite', 'Computer Technology']",machine learning techniques,wavelet analysis methods,computer vision algorithms,[]
[''],[],https://www.linkedin.com/in/cyrusstoller,"['Product Management Suite', 'Data Visualization and Analysis', 'Data and Modeling']",product strategy,data visualization,statistical modeling,[]
['boston university business analyst course'],"['Financial Management and Analysis', 'Engineering and Sciences']",https://www.linkedin.com/in/shrikantbjoshi,"['Interpersonal and Communication Skills', 'Interpersonal and Communication Skills', 'Interpersonal and Communication Skills']",facilitation skills,workshop skills,business analysis skills,"['Professional, Academy for Healthcare Management']"
[''],['Mathematical Sciences'],https://www.linkedin.com/in/arniematz,"['Cloud Engineering and Management', 'Automation Engineering', 'DevOps Engineering']",cloud computing,network automation,devops testing,[]
[''],"['Computer Science and Engineering', 'Technology and Applied Sciences']",https://www.linkedin.com/in/mills-george,"['Functional Programming and Programming Concepts', 'Debugging and Troubleshooting', 'Debugging and Troubleshooting']",threading concepts,debugging techniques,javascript debugging,[]
[''],['Communication and Information Technology'],https://www.linkedin.com/in/travislingenfelder,"['Implementation Skills', 'Application Development and Deployment', 'Workflow Management and Automation']",disaster recovery implementation,container deployment,workflow mobilization,"['Instructor Recognition - 10 Classes Delivered', 'Accessibility in Action', 'MS-301 Deploying SharePoint Server Hybrid', 'Microsoft Teams Bot Development', 'Windows Server 2019 Essential Training', 'MS-300 Deploying Microsoft 365 Teamwork', 'Microsoft Technical Specialist: Microsoft SharePoint 2010, Configuring', 'Microsoft Certified: Power Platform App Maker Associate', 'Microsoft 365 Certified: Teamwork Administrator Associate', 'Microsoft Certified Trainer 2019-2020', 'Microsoft Certified Technical Specialist: SharePoint 2007 Application Development', 'Microsoft Certified Technical Specialist: SharePoint 2007 Installation and Configuration']"
[''],"['Electrical Engineering and Related Disciplines', 'Electrical Engineering and Electronics']",https://www.linkedin.com/in/peter-arnold-93a4744,"['Computer Technology', 'Programming Paradigms', 'Design Engineering']",hardware maintenance,c programming,fpga design,[]
[''],"['Computer Science and Engineering', 'Computer Science Applications', 'Physical and Mathematical Sciences']",https://www.linkedin.com/in/vdharmaraju,"['Configuration Management', 'Optimization', 'IT Management']",network configuration,performance optimization,device management,[]
[''],"['Languages and Literature', 'STEM', 'STEM', 'STEM']",https://www.linkedin.com/in/peter-saama-7548a15,"['Java Stream Processing', 'Data Analytics Suite', 'Data Analytics Suite']",natural language processing,regression analysis,data analysis,[]
[''],[],https://www.linkedin.com/in/jeffmarkssalesexecutive,"['Business Strategy and Planning', 'IT Administration', 'Sales Management and Optimization']",business strategy,salesforce administration,sales management,[]
[''],"['Languages and Literature', 'Engineering and Applied Sciences', 'Engineering and Applied Sciences', 'Engineering and Applied Sciences', 'General and Interdisciplinary Studies']",https://www.linkedin.com/in/welington-castro-948b0a3a,"['Data and Modeling', 'Engineering and Design Best Practices', 'Technical Proficiency']",building site modeling,motivation principles,mental fortitude,[]
[''],"['Information Technology', 'Humanities and Social Studies']",https://www.linkedin.com/in/jackie-carley-52b85a13a,"['Data and Object Manipulation', 'Data Analytics Suite', 'Big Data and Data Engineering']",data manipulation,data analysis,data engineering,"['Prosci® Taking Charge of Change', 'Designing and Implementing Big Data Analytics Solutions', 'Six Sigma - Green belt', 'Design Thinking']"
[''],[],https://www.linkedin.com/in/karen-ruble-68333952,"['IT Administration', 'Business Strategy and Planning', 'windows  configuration']",windows administration,test strategy development,windows 11 configuration,[]
[''],[],https://www.linkedin.com/in/raju-patel-ca,"['Concurrency and Multithreading', 'Software Engineering Cluster', 'Software Engineering Cluster']",multithreading,servlet development,jsf development,"['AWS Solutions Architect Professional', 'AWS Certified Developer Associate', 'Certified ScrumMaster (CSM)']"
[''],[],https://www.linkedin.com/in/sigurjon-helgason,"['Data Analytics Suite', 'Communication and Interpersonal Skills', 'Data and Modeling']",data analysis,mindfulness,threat detection,"['Certified in Cybersecurity (CC)', '(ISC)² Candidate']"
[''],[],https://www.linkedin.com/in/chris-medaglia-16a7441a,"['Windows 10 Administration and Deployment', 'Cloud and Enterprise Architecture', 'Automation Engineering']",package installation,cloud architecture design,ansible automation,[]
[''],[],https://www.linkedin.com/in/randall-snizek-2b2ab645,"['Cloud and Enterprise Architecture', 'Data Engineering and Management', 'Virtualization and Cloud Management']",cloud architecture design,data analytics,virtualization management,[]
[''],['Information Technology'],https://www.linkedin.com/in/matt-j-ross,"['Cybersecurity', 'Database Administration', 'Database Administration']",data security,database management,disaster recovery,"['Microsoft Global Hackathon 2022', 'Technical Leadership Development Program - Alumni', 'Valuable Contributor Silver', 'Accessibility in Action', 'Cert Prep: ITIL® 3 Foundation', 'Communicating Across Cultures', 'Customer Service Foundations', 'Developing Executive Presence', 'Effective Listening', 'Getting Things Done', 'Holding Yourself Accountable', 'Interpersonal Communication', 'Learning from Failure', 'Phone-Based Customer Service', 'Problem Solving Techniques', 'Unconscious Bias', 'Working with Upset Customers', 'Microsoft Certified Solutions Associate', 'Microsoft Certified Technology Specialist', 'Microsoft Certified I.T. Professional', 'Microsoft Certified Professional', 'Microsoft Certified: Azure DevOps Engineer Expert', 'Microsoft Certified: Azure Developer Associate', 'Microsoft Certified Trainer 2019-2020', 'PMI-ACP']"
[''],"['Information Systems Management and Technology', 'Construction and Community Development', 'Languages and Literature']",https://www.linkedin.com/in/keith-schoepflin-6434809,"['IT Management', 'Server Management and Development', 'Cybersecurity']",file management,server maintenance,network security,[]
[''],[],https://www.linkedin.com/in/sheldon-bono-40517910,"['Test Engineering', 'Test Engineering', 'Test Engineering']",test planning,test execution,test reporting,[]
[''],[],https://www.linkedin.com/in/joelkucera,"['Troubleshooting Proficiency', 'Integration Expertise', 'Virtualization and Cloud Management']",troubleshooting windows 10,cloud integration,virtualization using virtualbox,[]
[''],['Network and Computer Systems'],https://www.linkedin.com/in/alejandro-martinez-96640340,"['Engineering and Design Best Practices', 'Risk and Vulnerability Management', 'Interpersonal and Communication Skills']",lean principles,hazard identification,advocacy skills,"['Hazardous Waste Management', 'Hazardous comunication', 'Safe transportation of hazardous materials(DOT)']"
[''],"['Telecommunications and Electronics', 'Engineering and Applied Sciences']",https://www.linkedin.com/in/ahmed-elrayah-43660126,"['Configuration Management', 'Troubleshooting Proficiency', 'Cybersecurity']",network configuration,troubleshooting,security management,"['CCIE R/S #24012', 'A+', 'MCSE', 'CASP', 'CCNA R&S', 'CCNA-Voice', 'CCNP', 'CCNP Voice']"
[''],[],https://www.linkedin.com/in/xu-jason-a634a856,"['Server Management and Development', '.NET Development Fundamentals', 'Ideation and Prototyping']",server management,.net programming,visual studio interface,[]
[''],['Computer Science and Engineering'],https://www.linkedin.com/in/esaie-vermilus,"['Cloud Engineering and Management', 'IT Fundamentals', 'Application Development and Deployment']",cloud cost management,aws development fundamentals,docker deployment,[]
[''],"['Computer Science and Engineering', 'Electronic and Electrical Engineering']",https://www.linkedin.com/in/danielcarbajal,"['gRPC Framework Expertise', 'Software Testing and Quality Assurance', 'Data Manipulation and Querying']",grpc development,unit testing,dependency injection,"['MCTS: .NET Framework 3.5, Windows Communication Foundation Applications', 'MCSD1: Microsoft .NET']"
[''],"['Electrical Engineering and Related Disciplines', 'Business Operations and Information Management']",https://www.linkedin.com/in/danielwatrous,"['Cloud Engineering and Management', 'Kubernetes Cluster Management and Orchestration', 'Cloud and Enterprise Architecture']",cloud deployment,kubernetes management,microservice architecture,"['Architecting Hybrid Cloud Infrastructure with Anthos', 'Machine Learning - Stanford', 'Cloud Digital Leader', 'Professional Cloud Developer', 'Google Cloud Certified Professional Cloud Architect', 'Certified Scrum Master']"
[''],[],https://www.linkedin.com/in/sidney-benda-83ba31a,"['Design Engineering', 'Python Development']",fpga design,python,,[]
[''],['Electrical Engineering and Electronics'],https://www.linkedin.com/in/frank-cervantes-2810b18,"['Data Analytics Suite', 'Data Visualization and Analysis', 'Technical Software Proficiency']",spatial analysis,data visualization,gis software proficiency,[]
[''],['Control Engineering'],https://www.linkedin.com/in/sophat-l-738a1315,"['Interpersonal and Communication Skills', 'Interpersonal and Communication Skills', 'Audio Synthesis and Modular Techniques']",influencing skills,data analysis skills,audio synthesis skills,['Cisco Certified Network Associate Voice (CCNA)']
[''],"['Systems Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/alon-altman-9245974,"['Programming Paradigms', 'gRPC Framework Expertise', 'Java Stream Processing']",go programming,grpc development,natural language processing,[]
[''],['Engineering and Production Technologies'],https://www.linkedin.com/in/cuulonghuynh,"['Test Engineering', 'Test Engineering', 'Risk and Vulnerability Management']",test case design,test execution,defect reporting,[]
[''],"['Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/tituswinters,"['Machine Learning and Data Science', 'Programming Paradigms']",machine learning algorithms,c programming,,[]
[''],"['Machine Learning and Computer Vision', 'Astrophysics', 'Astrophysics']",https://www.linkedin.com/in/brent-bryan,"['Business Strategy and Planning', 'Software Engineering Cluster', 'Cloud-Native Development']",ai strategy development,agile development methodologies,cloud native application design,[]
[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/jschulze,"['Concurrency Management', 'Parallel and Scientific Computing', 'Concurrency and Multithreading']",concurrency management,parallel programming,multithreading,[]
[''],[],https://www.linkedin.com/in/husnu-masaracioglu-57221b14,"['IT Fundamentals', 'Audio Synthesis and Modular Techniques', 'Project Management and Resource Allocation']",cybersecurity fundamentals,modular synthesis techniques,github project management,[]
