id,courses_title,degree_field,exp_duration,url,skills,skill_1,skill_2,skill_3,cert_titles,exp_group
davidpickford,[''],"['Languages and Literature', 'Computer Science and Engineering']",203,https://www.linkedin.com/in/davidpickford,"['Agile', 'Programming Paradigms', 'Design']",agile methodologies,object-oriented programming,design patterns,[],1
mariaminnamolloy,"['bc calculus', 'computer science', 'algorithms', 'calculus', 'computer organization architecture', 'database management', 'discrete math', 'internetworking', 'math reasoning', 'software development', 'software development', 'software systems analysis', 'system design']","['Computer Science and Engineering', 'Computer Science and Engineering']",124,https://www.linkedin.com/in/mariaminnamolloy,"['Spring', 'Development', 'Web']",spring framework,java development,web development,[],1
christopher-calderon818,"['methodsengr. math', 'algorithms abstract data types', 'computer systems assembly lang.', 'computer systems c programming', 'data structures', 'discrete math', 'electricity magnetism', 'logic design', 'math 23a', 'mechanics', 'technical writing']",['Electrical and Computer Engineering'],54,https://www.linkedin.com/in/christopher-calderon818,"['Object', 'Assembly', 'Programming Paradigms']",object manipulation,assembly language integration,network programming,[],0
yuan-anne-feng-821a7618,"['design analysis algorithms(audit)', 'digital machine design', 'embedded system', 'object oriented programming c++', 'vlsi computer aided design', 'vlsi testing verification']","['Electrical Engineering and Related Disciplines', 'Communication and Information Technology']",118,https://www.linkedin.com/in/yuan-anne-feng-821a7618,"['Game', 'Unity', 'Kotlin']",game development,unity development,kotlin programming,['Unity Certified Developer'],1
teemu-rantalaiho-134a1312,[''],"['Theoretical Sciences', 'Theoretical Sciences']",263,https://www.linkedin.com/in/teemu-rantalaiho-134a1312,"['Enhanced', 'Multithreading', 'Concurrency']",enhanced concentration,multithreading proficiency,concurrency management,[],2
jiaxin-guo-6141b416b,[''],['Engineering and Applied Sciences'],65,https://www.linkedin.com/in/jiaxin-guo-6141b416b,"['Problem', 'Critical', 'Communication']",problem solving,critical thinking,communication,[],0
camile-woodruff-06a732174,[''],"['Electrical Engineering and Electronics', 'Electrical Engineering and Related Disciplines', 'Technology and Applied Sciences']",100,https://www.linkedin.com/in/camile-woodruff,"['Code', 'Automation', 'Financial', 'Data Analytics Suite']",code optimization,automation testing,financial data analysis,[],1
kenji-inoue-92256b5b,[''],['Electrical and Computer Engineering'],31,https://www.linkedin.com/in/kenji-inoue-92256b5b,"['Data', 'Data', 'Data']",data analysis,data manipulation,data visualization,[],0
debnowlin,[''],[],411,https://www.linkedin.com/in/debnowlin,"['Disability', 'Virtual', 'IT', 'management']",disability awareness,virtual hiring,it service management,[],2
roksana-baleshzar,[''],"['Computer Science and Engineering', 'Information Technology']",101,https://www.linkedin.com/in/roksana-baleshzar,"['Array', 'Parallel', 'Data', 'Design']",array manipulation,parallel processing,data structure design,[],1
khandelwalvaishali,"['applied machine learning', 'data visualization', 'experiments causal inference', 'fundamentals data engineering', 'machine learning at scale', 'statistics data science']",['Computer Science and Engineering'],6,https://www.linkedin.com/in/khandelwalvaishali,"['Model', 'Feature', 'Data']",model building,feature engineering,data preprocessing,[],0
gerard-rovira,[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",112,https://www.linkedin.com/in/gerard-rovira,"['Web', 'CSS', 'CSS']",web development,css layout,css styling,[],1
porseland,[''],[],35,https://se.linkedin.com/in/porseland,"['Facilitate', 'business', 'Style', 'pages', 'CSS']",facilitate remote design,design business graphics,style web pages with css,[],0
mark-payawal-cs,['cybersecurity analysts'],[],15,https://www.linkedin.com/in/mark-payawal-cs,"['Data', 'Effective', 'Digital']",data analysis,effective communication,digital well-being,"['Cybersecurity', 'Flatiron School Cybersecurity Analytics']",0
shashang,[''],[],6,https://www.linkedin.com/in/shashang,"['Data', 'effects', 'R']",data analysis,audio effects,r programming,[],0
christian--gonzalez,"['data structures', 'discrete math', 'it management', 'intro programming', 'modern web applications', 'operating systems', 'data mining', 'cyberphysical systems', 'object oriented programming']",['Computer Science and Engineering'],59,https://www.linkedin.com/in/christian--gonzalez,"['Android', 'web', 'React', 'development']",android app development,full-stack web development,react web development,"['CSS Essential Training', 'HTML Essential Training', 'Microsoft Excel, PowerPoint, Word, and Access']",0
jay-scott-b928743,[''],[],76,https://www.linkedin.com/in/jayscott082010,"['Network', 'IP', 'Troubleshooting']",network design,ip addressing,troubleshooting,['CrossFit Level 1 Trainer Certificate'],0
rharyani,[''],"['Computer Science and Engineering', 'Electrical and Computer Engineering']",66,https://www.linkedin.com/in/rharyani,"['Data', 'Web', 'Machine']",data management,web development,machine learning,[],0
jakub-wasylkowski-753808b4,[''],"['Computer Science and Engineering', 'Languages and Literature', 'Languages and Literature', 'Pre-Professional Studies']",18,https://www.linkedin.com/in/jwasylkowski,"['Assembly', 'Programming', 'Functional', 'Concepts', 'Java', 'Programming']",assembly language programming,functional programming concepts,java functional programming,[],0
hui-xian-902b136,[''],[],230,https://www.linkedin.com/in/hui-xian-902b136,"['IDE', 'syntax', 'UI']",ide navigation,xaml syntax,ui design,[],1
evan-hasal-a480542,[''],"['Information Technology and Management', 'Information Technology']",151,https://www.linkedin.com/in/evan-hasal-a480542,"['Virtualization', 'Allocation', 'Network']",virtualization management,resource allocation,network security,[],1
hrishikeshwaikar,"['business intelligence analytics', 'cloud computing', 'data structures algorithms', 'database management systems', 'discrete systems', 'enterprise distributed systems', 'human computer interaction', 'operating systems', 'systems programming', 'theory computation']","['Software Engineering and Computing Technologies', 'Machine Learning and Computer Vision', 'Electrical and Computer Engineering']",20,https://www.linkedin.com/in/hrishikeshwaikar,"['Data', 'Coding', 'Algorithm']",data manipulation,quick coding,algorithm design,[],0
seatonje,[''],"['Data Analytics and Business Intelligence', 'Technical and Applied Sciences']",30,https://www.linkedin.com/in/seatonje,"['Interpersonal', 'Data', 'Human', 'Management']",interpersonal communication,data analysis,human resources management,"['Foundations of Diversity, Equity, Inclusion, and Belonging', 'Excel Business Intelligence: Data Modeling 101', 'Excel Business Intelligence: Power Query', 'Making Quick Decisions', 'Root Cause Analysis: Getting to the Root of Business Problems', 'Programming Foundations: Databases', 'Combining Tables in SQL Course', 'Amazon L&SC1.0 Graduate Certificate', 'Filtering and Sorting Data in SQL Course', 'Introduction to SQL and Databases Course', 'Summarizing Data in SQL Course', 'Excel for Business Analysts', 'From Excel to Tableau', ""Leading When You're Not in Charge"", 'Tableau 10 for Data Scientists (2017)', 'Communicating with Emotional Intelligence', 'Data Analytics: Dashboards vs. Data Stories', 'Data Analytics: Graph Analytics', 'Excel: Introduction to Charts and Graphs', 'Learning SQL Programming', 'Supply Chain Analytics Foundations', 'CPR/AED/First Aid']",0
alexanderclucas,"['algorithms', 'computer graphics', 'linear algebra', 'operating systems', 'physics engineers', 'shader programming (rsl glsl)', 'simulation game programming', 'software engineering', 'vector calculus']","['Computer Science and Engineering', 'Computer Science and Engineering']",154,https://www.linkedin.com/in/alexanderclucas,"['3D', 'Unity', 'C#']",3d modeling,unity development,c# programming,[],1
wonjunjang,[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",110,https://www.linkedin.com/in/wonjunjang,"['Python', 'development', 'Java']",python development,front-end development,java programming,[],1
kemi-porto-8b9bb453,"['enterprise distributed systems', 'enterprise software platforms', 'software systems engineering', 'formal language automata', 'graph theory', 'integer linear programming', 'mongodb java developers']","['Computer Science and Engineering', 'Mathematical Sciences']",137,https://www.linkedin.com/in/kemi-porto-8b9bb453,"['Data', 'Architecture', 'Java']",data structures,code architecture,java arrays,[],1
eric-greenwood-74627a58,[''],[],249,https://www.linkedin.com/in/eric-greenwood-74627a58,"['Hardware', 'hardware', 'design', 'proficiency\xa0']",hardware installation,computer hardware knowledge,pcb design software proficiency,[],1
dylankershaw,"['react redux', 'css sass', 'artificial intelligence a-z: learn build ai', 'elements artificial intelligence', 'modern react with redux', 'website performance optimization']",['Business and Administration'],0,https://www.linkedin.com/in/dylankershaw,"['React', 'Development', 'C++']",react development,hotwire development,c++ development,[],0
fareed-ahamed-417b2533,[''],"['Information Technology', 'Computer Science and Engineering']",89,https://www.linkedin.com/in/fareedahamed,"['SAP', 'Cloud', 'Fiori', 'skills']",sap integration,cloud platform knowledge,sap fiori end-user skills,"[""Development Consultant SAP NetWeaver '04 - Application Development Focus ABAP""]",0
danbien,[''],"['Business and Administration', 'Computer Science and Engineering', 'Software Engineering and Computing Technologies']",227,https://www.linkedin.com/in/danbien,"['SDLC', 'Automation Engineering', 'Agile']",sdlc management,network automation,agile methodologies,[],1
andremagni,[''],[],168,https://www.linkedin.com/in/andremagni,"['Data', 'Data', 'Machine']",data management,data analysis,machine learning,"['MCPD: Windows Azure Developer', 'ITIL Foundation v2.0', 'ITIL Foundation v3.0', 'MC Application Developer', 'MC Database Administrator', 'MC Desktop Support Technician', 'MC Solution Developer .NET', 'MC Solution Developer Visual Studio 6.0', 'MC Systems Engineer - Windows NT 4.0', 'MCITP: Business Intelligence Developer 2005', 'MCITP: Business Intelligence Developer 2008', 'MCITP: Database Administrator 2005', 'MCITP: Database Administrator 2008', 'MCITP: Database Developer 2005', 'MCITP: Database Developer 2008', 'MCPD: ASP.NET Developer 3.5', 'MCPD: Enterprise Application Developer', 'MCPD: Enterprise Application Developer 3.5', 'MCPD: Web Developer', 'MCPD: Web Developer 4', 'MCPD: Windows Developer', 'MCPD: Windows Developer 3.5', 'MCTS: BizTalk Server 2006, Custom Applications', 'MCTS: MOSS 2007, Application Development', 'MCTS: MOSS 2007, Configuration', 'MCTS: SharePoint 2010, Application Development', 'MCTS: WSS 3.0, Application Development', 'MCTS: WSS 3.0, Configuration', 'MCTS: Windows Server 2003: Hosting, Configuration and Management', 'Microsft Certified Trainer', 'Microsoft Achievement: Delivering Business Value Planning Services', 'Microsoft Solution Framework Application Development Trainer', 'Microsoft Solution Framework Component Design Trainer', 'Microsoft Solution Framework Practitioner']",1
surajr20,"['computer architecture', 'analysis design algorithms', 'c programming', 'c++', 'computer networks', 'computer organization', 'cryptography network security', 'data mining', 'data structures', 'database management systems', 'discrete mathematical structures', 'file structures storage management', 'finite automata formal language', 'java programming', 'logic design', 'microprocessor', 'object oriented programming with c++', 'operating systems', 'software testing', 'unix', 'unix shell programming', 'analysis algorithms', 'artificial intelligence', 'machine learning', 'natural language processing', 'security systems', 'web technologies']","['Computer Science and Engineering', 'Information Sciences and Engineering']",82,https://www.linkedin.com/in/surajr20,"['Programming', 'Database', 'Cloud']",programming logic,database connectivity,cloud computing,['AWS Certified Developer - Associate'],0
karenka,[''],['Computational Economics'],43,https://www.linkedin.com/in/karenka,"['Deep', 'Full-stack', 'JavaScript']",deep learning,full-stack development,javascript,[],0
agupta00,[''],['Electronics and Communication'],160,https://www.linkedin.com/in/agupta00,"['Virtualization', 'JavaScript', 'Modular']",virtualization management,javascript debugging,modular synthesis,[],1
nitish-kumar-vaja-aaa095b0,"['engineering analysis', 'engineering experimentation', 'mechanics materials', 'direct research', 'engineering vibrations', 'nvh - noise vibration harshness', 'special topics engineering', 'automobile engineering', 'cae - auto cad ansys', 'computer programming data structures', 'design machine elements', 'dynamics machinery', 'engineering mechanics', 'finite element analysis', 'industrial management', 'kinematics dynamics machinery', 'mechanics fluids hydraulic machinery', 'mechanics solids', 'metallurgy materials science', 'metrology surface engineering', 'operations research', 'product design assembly automation', 'production technology', 'robotics', 'thermodynamics applied thermodynamics', 'customer discovery program', 'applied engineering analysis', 'material selection design']","['Engineering and Technology Specializations', 'Mechanical Engineering and Related Fields']",30,https://www.linkedin.com/in/nitishkumarvaja,"['Finite', 'molding']",finite element analysis,productivity management,injection molding design,"['Insights on Automotive Design with Veejay Gahir', 'NVH - Noise Vibration and Harshness of automobile components', 'NVH of Rotating Machinery']",0
varun-allampalli-b02b218,[''],"['Engineering and Applied Sciences', 'Mechanical Engineering and Related Fields']",190,https://www.linkedin.com/in/varun-allampalli-b02b218,"['Thread', 'Server', 'Web']",thread management,server administration,web development,[],1
sara-mulherin,[''],['Management and Business'],199,https://www.linkedin.com/in/sara-mulherin,"['Process', 'Sales', 'Problem']",process improvement,sales engineering,problem solving,[],1
vijayaraghavansubbaiah,[''],['Computer Science and Engineering'],173,https://www.linkedin.com/in/vijayaraghavansubbaiah,"['AWS', 'database', 'Data']",aws cloud development,nosql database management,data analytics,[],1
mike-menaker-019a3b6,[''],['Signal Processing and Communications'],90,https://www.linkedin.com/in/mike-menaker,"['Infrastructure', 'Reactive', 'Microservice']",infrastructure management,reactive programming,microservice security,[],0
echesakov,[''],"['Computer Science and Engineering', 'Computer Science and Engineering', 'Mathematical Sciences']",170,https://www.linkedin.com/in/echesakov,"['Cross-platform', 'XAML', 'Concurrency Management']",cross-platform development,xaml content creation,java concurrency,[],1
jayakrishnan-somasekharan-nair-34bba38b,"['critical thinking', 'design thinking', 'turning point', 'art living']",['Software Engineering and Computing Technologies'],175,https://www.linkedin.com/in/jayakrishnansomasekharannair,"['Web', 'Data', 'Java', 'framework']",web development,data validation,java ee framework,"['Swift 5 Essential Training', 'Learning Secure Payments and PCI', 'Learn Java Cryptography', 'Blockchain: Beyond the Basics', 'Blockchain Basics', 'Learning Cryptography and Network Security', 'SQL Tips, Tricks, & Techniques', 'ATG Dynamo']",1
devineni-bharat-b6045736,[''],"['Electrical Engineering and Electronics', 'Science cluster']",154,https://www.linkedin.com/in/devinenibharat-sapbasishanaconsultant,"['Kotlin', 'AWS', 'machine', 'Java', 'features']",kotlin development,aws virtual machine migration,java 17 features,"['Accessibility in Action', 'Microsoft Certified: Azure Fundamentals', 'SAP Certified Technology Associate(Edition 2014) – SAP HANA', 'Microsoft Certified: Azure for SAP Workloads Specialty', 'SAFe® 4 Practitioner']",1
elmer-gabinay-71b7b897,['business management'],[],356,https://www.linkedin.com/in/elmer-gabinay-71b7b897,"['Model', 'Data', 'Conflict']",model building,data processing,conflict resolution,[],2
justin-jay-panelo-nool-5b656b224,[''],['Languages and Literature'],18,https://www.linkedin.com/in/jay-justin,"['Test', 'Test', 'AR']",test planning,test management,ar visualization,[],0
rachel-rankin-0035063a,"['econometrics', 'macroeconomics', 'microeconomics', 'development economics', 'management science', 'linear algebra honors', 'business law', 'complex analysis', 'engineering physics', 'mathematical modeling', 'nonlinear differential equations', 'numerical analysis', 'ordinary differential equations', 'real analysis', 'statistics', 'intro c++']","['Mathematical Sciences', 'Quantitative Economics and Mathematics', 'Quantitative Economics and Mathematics']",147,https://www.linkedin.com/in/rankinrachel,"['Install', 'data', 'Data']",install software,protect data,data analysis,['CRLA Level II Certified'],1
isakuyamahata,[''],[],294,https://www.linkedin.com/in/isakuyamahata,"['Operating', 'device', 'C']",operating system fundamentals,linux device driver development,embedded c programming,[],2
atul-patil-54b7966,[''],"['Network Engineering and Administration', 'Electrical Engineering and Related Disciplines']",71,https://www.linkedin.com/in/atul-patil-54b7966,"['VPN', 'WAN', 'IP']",vpn configuration,wan design,ip routing,[],0
ryan-harkins-99617850,[''],[],253,https://www.linkedin.com/in/ryan-harkins-99617850,"['Active', 'Management', 'Server', 'Services']",active directory management,server configuration,federation services,[],2
lan-zhong-76a59394,"['algorithm design analysis', 'big data healthcare data', 'c language progamming', 'data structures database', 'financial markets institution', 'foundations algorithms b', 'mathematical experiments', 'mathematical modeling', 'mathematical statistics', 'probability theory', 'stock theory transaction', 'introduction data mining']","['Mathematical Sciences', 'Computational and Mathematical Sciences']",59,https://www.linkedin.com/in/lan-zhong-76a59394,"['Hadoop', 'Stochastic', 'Java']",hadoop management,stochastic modeling,java concurrency,[],0
nishita-aggarwal,"['algorithm design analysis', 'artificial intelligence', 'computer networks', 'data structures', 'data structures', 'machine learning', 'network programming', 'object oriented programming', 'object oriented software engineering', 'operating systems']",['Information Technology'],21,https://www.linkedin.com/in/nishita-aggarwal,"['SQL', 'Angular', 'Deep', 'Data Foundations and Algorithmics']",sql querying,angular development,deep learning algorithms,['NTAT Certified'],0
manjit-pathak-phd-b1831b3,[''],[],145,https://www.linkedin.com/in/manjit-pathak-phd-b1831b3,"['Recommendation', 'Dashboard', 'Pandas']",recommendation engine design,sales dashboard creation,pandas optimization,"['Probabilistic Graphical Model 1: Representat', 'Getting Started with AWS Machine Learning', 'TensorFlow in Practice', 'Master SQL for Data Science', 'AI For Everyone', 'Coursera Mentor Community and Training Course', 'Deep Learning Specialization', 'Learning Python for Data Analysis and Visualization', 'Statistical Learning', 'Introduction to Computer Science and Programming Using Python', 'Data Science Specialization', 'Machine Learning']",1
grant-neuman,[''],['Electrical Engineering and Electronics'],71,https://www.linkedin.com/in/grant-neuman,"['Machine', 'Data', 'Recommender']",machine learning,data modeling,recommender systems,[],0
alejandro-myrick-01ba67143,[''],['Software Engineering and Computing Technologies'],17,https://www.linkedin.com/in/alejandro-myrick,['Data'],data warehousing,reporting,querying,['App Development with Swift Certified User'],0
monysimkh,[''],"['Computer Science and Engineering', 'Languages and Literature']",154,https://www.linkedin.com/in/monysimkh,"['Cross-platform', 'MAUI', 'creation']",cross-platform app development,websocket communication,.net maui application creation,['Microsoft .NET Framework – Web-Based Client Development'],1
xu-ji-b585586,[''],"['Electrical Engineering and Electronics', 'Electrical Engineering and Related Disciplines']",145,https://www.linkedin.com/in/xu-ji-b585586,"['Hardware', 'Operating', 'Configuration Management']",hardware troubleshooting,operating system installation,network configuration,[],1
marabolijuan,[''],"['Information Systems Management and Technology', 'Computer Science and Engineering']",81,https://www.linkedin.com/in/marabolijuan,"['Cloud', 'tools', 'Cloud']",cloud management,devops tools,cloud architecture,"['Google Cloud Certified Professional DevOps Engineer', 'Google Cloud Fundamentals: Core Infrastructure', 'Unconscious Bias', 'Red Hat System Administration 1 (RH124)', 'HashiCorp Certified: Terraform Associate (003)']",0
mw-park,[''],"['Mathematical Sciences', 'Mathematical Sciences', 'Mathematical Sciences']",76,https://www.linkedin.com/in/mw-park,"['Data', 'Data', 'Machine']",data analysis,data visualization,machine learning,['Qwiklabs Badge'],0
mtmcgough,[''],"['Honors and Distinction Programs', 'Quantitative Economics and Mathematics']",127,https://www.linkedin.com/in/mtmcgough,"['Data', 'SQL', 'Predictive']",data analysis,sql programming,predictive modeling,[],1
jingchi-yang-5b791b5a,[''],[],57,https://www.linkedin.com/in/jingchi-yang,"['FPGA', 'Debugging and Troubleshooting', 'OS']",fpga design,c debugging,os fundamentals,[],0
shiva-vinukonda-46986659,[''],['Computer Science and Engineering'],15,https://www.linkedin.com/in/shiva-vinukonda-46986659,"['Test', 'Version', 'ASP.NET']",test automation,version control,asp.net core,[],0
rohit-bhelkar-6951189,[''],['Electronics and Computer Systems'],163,https://www.linkedin.com/in/rohit-bhelkar-6951189,"['Git', 'Audio', 'Communication']",git workflow,audio synthesis,communication skills,[],1
jensen-masuda,[''],"['Supply Chain and Logistics Management', 'Historical Studies and Computing']",66,https://www.linkedin.com/in/jensen-masuda,"['Performance', 'Data', 'Coaching']",performance management,data analysis,coaching skills,[],0
scott-blessing,"['newtonian mechanics', 'newtonian mechanics', 'artificial intelligence', 'computer graphics interactions', 'computer languages compilers', 'computer security', 'data mining', 'database systems', 'differential equations', 'distributed systems', 'electromagnetic fields', 'embedded systems', 'fundamental algorithms', 'language design', 'software engineering 1+2', 'virtual reality']",[''],130,https://www.linkedin.com/in/scott-blessing,"['C#', 'Web', 'Entity', 'Core']",c# programming,web development,entity framework core,[],1
chandrakaranreddypatlolla,[''],"['Computer Science and Engineering', 'Communications and Electronics Engineering', 'Science cluster']",73,https://www.linkedin.com/in/chandrakaranreddypatlolla,"['Big', 'engineering', 'SQL', 'database']",big data processing,data engineering principles,sql server database administration,[],0
shivanispv,[''],"['Computer Science and Engineering', 'Electrical and Computer Engineering', 'Electrical and Computer Engineering']",78,https://www.linkedin.com/in/shivanispv,"['Error', 'MVC', 'Functional']",error handling,mvc architecture,functional programming,"['MS 98-361 Software Development Fundament', 'Professional Scrum Master PSM-1']",0
sanisheikh,[''],['Electrical Engineering and Electronics'],90,https://www.linkedin.com/in/sanisheikh,"['Cloud', 'Incident', 'Ethical', 'Techniques']",cloud security management,security incident response,ethical hacking techniques,"['Microsoft 365 Certified: Modern Desktop Administrator Associate', 'Workfront System Administrator', 'Nimble Storage Administration', 'AWS Certified Solutions Architect - Associate', 'Cisco Certified Network Associate (CCNA)', 'Information Technology Infrastructure Library (ITIL)', 'Red Hat Certified System Administrator (RHCSA)', 'VMware Certified Professional (VCP)']",0
lcao2001,[''],"['Analytics and Business Intelligence', 'Computer Science and Engineering', 'Bio-STEM Sciences', 'East Asian Studies']",209,https://www.linkedin.com/in/lcao2001,"['Penetration', 'Azure', 'Data']",penetration testing,azure networking,data analysis,[],1
maricatapple,[''],['Business and Administration'],72,https://www.linkedin.com/in/maricatapple,"['Web', 'Development', 'CLI']",web development,full-stack development,cli development,[],0
stevemuckle,[''],[],258,https://www.linkedin.com/in/stevemuckle,"['Kernel', 'Techniques', 'Driver']",kernel management,virtualization techniques,driver development,[],2
marcy-carroccio-aa7632a,[''],[],113,https://www.linkedin.com/in/marcy-carroccio,"['Interviewing', 'strategies\xa0', 'Management']",interviewing techniques,staffing strategies,management skills,[],1
sailalitha-g-0a7246110,"['introduction robotics', 'machine learning', 'aerial robotics', 'ansys (lab)', 'c programming', 'design machine elements.', 'design mechatronics systems', 'dynamics kinematics mechanical systems', 'electrical drives control', 'finite element analysis', 'production planning control', 'control mobile robots']","['Artificial Intelligence and Related Fields', 'Engineering and Applied Sciences']",76,https://www.linkedin.com/in/sailalithag1996,"['OS', 'Semantic', 'learning', 'recommendations']",os fundamentals,semantic kernel analysis,machine learning for recommendations,"['aerial robotics', 'control of mobile robots']",0
skyler-johnson-4b790b104,[''],['Computer Science and Engineering'],108,https://www.linkedin.com/in/skyler-johnson-4b790b104,"['Data', 'Data', 'Machine']",data analysis,data visualization,machine learning,['Tableau Desktop 10 Qualified Associate'],1
prameetchakraborty,"['analysis algorithms 1', 'intro machine learning', 'dbms', 'data structures', 'finite automata', 'operating systems', 'unix shell programming']","['Computer Science and Engineering', 'Computer Science and Engineering']",67,https://www.linkedin.com/in/prameetchakraborty,"['Full-stack', 'NgRx', 'web']",full-stack development,ngrx state management,react web development,[],0
wenchao-li-b174a23a,[''],"['Management and Business', 'Quantitative Economics and Mathematics', 'Electronics and Computer Systems']",138,https://www.linkedin.com/in/wenchao-li-b174a23a,"['Data', 'Statistical', 'Data']",data analysis,statistical analysis,data visualization,[],1
bertrand-chauvaux-1a562164,[''],[],78,https://www.linkedin.com/in/bertrand-chauvaux-1a562164,"['Identity', 'design', 'Embedded', 'Programming Paradigms']",identity management,software design,embedded systems programming,[],0
max-li-0844323a,[''],"['Biomedical Engineering Cluster', 'Computer Science and Engineering']",18,https://www.linkedin.com/in/maxzli,"['Communicate', 'Concurrent']",communicate with microservices,build databases,write concurrent code,[],0
jian-zhang-53827651,[''],"['Computer Science and Engineering', 'Electrical and Computer Engineering']",295,https://www.linkedin.com/in/jian-zhang-53827651,"['Linux', 'Management', 'FPGA', 'Width']",linux kernel management,fpga development,pulse width modulation,[],2
chieh-chun-chang-9b0a6512,"['analysis algorithms', 'data mining', 'database', 'foundations artificial intelligence', 'machine learning', 'operation system', 'software architecture', 'web technologies', 'introduction computer network', 'introduction database']","['Computer Science and Engineering', 'Languages and Literature', 'Computer Science and Engineering', 'Computer Science and Engineering']",159,https://www.linkedin.com/in/chieh-chun-chang-9b0a6512,"['Debugging and Troubleshooting', 'code', 'data', 'tools']",debugging skills,code debugging,data analysis tools,[],1
sumanth-vaka9,[''],['Information Technology'],14,https://www.linkedin.com/in/sumanth-vaka9,"['Cloud', 'Web', 'Concurrency']",cloud computing,web services,concurrency,"['Data Processing Specialist', 'Software Development Trainee', 'Software Engineer - IT Services', 'Microsoft Technology Associate']",0
mario-vera-5888b94,[''],[],257,https://www.linkedin.com/in/mario-vera-5888b94,"['Thread', 'Thread', 'Singleton']",thread synchronization,thread communication,singleton pattern,[],2
jinalmashruwala,"['data structures', 'analysis algorithm', 'bioinformatics', 'computer architecture principles', 'computer networks', 'concurrent programming', 'distributed operating system', 'pattern recognition', 'principle programming languages']","['Computer Science and Information Systems', 'Electrical and Computer Engineering', 'Electrical and Computer Engineering', 'Languages and Literature']",71,https://www.linkedin.com/in/jinalmashruwala,"['Concurrency', 'Servlet', 'Web', 'creation']",concurrency management,servlet development,web service creation,['TIBCO® MDM 8 CERTIFICATION'],0
xiuli-shen,"['algorithms', 'cloud computing', 'computer architecture i/ii', 'computer science advertising', 'data structures', 'illini orchestra', 'interactive computer graphics', 'linear algebra', 'numerical methods analysis', 'probability statistics', 'programming languages compilers', 'programming studio', 'software engineering i/ii', 'systems programming']",['Computer Science and Engineering'],69,https://www.linkedin.com/in/xiuli-shen,"['Web', 'Front-End', 'C++', 'Practices']",web development,front-end development,c++ best practices,"['Erlang OTP Training', 'Scrum Master']",0
