id,url,skills,skill_1,skill_2,skill_3
gem-li-0018757,https://www.linkedin.com/in/gem-li-0018757,1: Install hardware 2: Troubleshoot hardware 3: Repair hardware,install hardware,troubleshoot hardware,repair hardware
artem-bolshakov-b961a6118,https://www.linkedin.com/in/artem-bolshakov-b961a6118,1: Concurrency management 2: Linux kernel administration 3: Hardware architecture understanding,concurrency management,linux kernel administration,hardware architecture understanding
dhimnsen,https://www.linkedin.com/in/dhimnsen,1: Neural network training 2: Azure Machine Learning 3: R programming,neural network training,azure machine learning,r programming
sally-carlson-088b88132,https://www.linkedin.com/in/sally-carlson-088b88132,1: Serverless architecture  2: Data streaming  3: Event-driven programming,serverless architecture,data streaming,event-driven programming
shri-deshpande,https://www.linkedin.com/in/shri-deshpande,1: Modular synthesis  2: Linux capacity planning  3: Synthesis fundamentals,modular synthesis,linux capacity planning,synthesis fundamentals
daniel-tran-a9339333,https://www.linkedin.com/in/daniel-tran-a9339333,1: Operating system troubleshooting 2: AI tool application 3: Linux kernel administration,operating system troubleshooting,ai tool application,linux kernel administration
william-johnson-b08002116,https://www.linkedin.com/in/william-johnson-b08002116,1: Java Microservices  2: Networking Fundamentals  3: Data Structures,java microservices,networking fundamentals,data structures
haodongzhang,https://www.linkedin.com/in/haodongzhang,1: GraphQL development 2: Kotlin programming 3: Java development,graphql development,kotlin programming,java development
joseph-sackett-700262a2,https://www.linkedin.com/in/joseph-sackett-700262a2,1: Active Directory Management 2: Certificate Services Management 3: DHCP and DNS Configuration,active directory management,certificate services management,dhcp and dns configuration
edgard-solorzano-2b9987100,https://www.linkedin.com/in/edgard-s,1: Front-end development 2: Cloud deployment 3: Performance optimization,front-end development,cloud deployment,performance optimization
jiaxin-kalyssa-wang,https://www.linkedin.com/in/jiaxin-kalyssa-wang,1: HTML coding 2: CSS design 3: JavaScript programming,html coding,css design,javascript programming
tejttrivedi,https://www.linkedin.com/in/tejttrivedi,1: Database Management 2: Cloud Computing 3: Java Programming,database management,cloud computing,java programming
tusharvatsa32,https://www.linkedin.com/in/tusharvatsa32,1: Neural network building 2: AI fundamentals 3: AWS DeepLens deployment,neural network building,ai fundamentals,aws deeplens deployment
kirandintakurthi,https://www.linkedin.com/in/kirandintakurthi,1: Embedded programming 2: Cloud architecture 3: Cloud security,embedded programming,cloud architecture,cloud security
pedramgharghabi,https://www.linkedin.com/in/pedramgharghabi,1: Values alignment 2: Audio filtering 3: PCB design,values alignment,audio filtering,pcb design
yanx,https://www.linkedin.com/in/yanx,1: Machine learning fundamentals 2: Java development for cloud-native applications 3: Kubernetes and cloud-native security,machine learning fundamentals,java development for cloud-native applications,kubernetes and cloud-native security
ariesyin,https://www.linkedin.com/in/ariesyin/en,1: Data manipulation 2: Data analysis 3: Data visualization,data manipulation,data analysis,data visualization
deepthi-ravuru-8434b6201,https://www.linkedin.com/in/deepthi-ravuru-8434b6201,1: 3D Modeling  2: MATLAB Programming  3: Cybersecurity Fundamentals,3d modeling,matlab programming,cybersecurity fundamentals
nirupama-chakkera-08405167,https://www.linkedin.com/in/nirupama-chakkera-8405167,1: Test Planning 2: Test Execution 3: Test Reporting,test planning,test execution,test reporting
ganeshsanjayshete,https://www.linkedin.com/in/ganeshsanjayshete,1: Data Analysis   2: Communication   3: Procurement  ,data analysis,communication,procurement
gaurav-kulkarni-a437a99b,https://www.linkedin.com/in/gaurav-kulkarni-letsstayconnected,1: Microcontroller programming 2: Wireless network configuration 3: C code debugging,microcontroller programming,wireless network configuration,c code debugging
gillettnick,https://www.linkedin.com/in/gillettnick,1: CAD modeling 2: CNC programming 3: Mold design,cad modeling,cnc programming,mold design
aashray-aggarwal-448172144,https://www.linkedin.com/in/aashrayaggarwal,1: Penetration Testing 2: Ethical Hacking 3: Risk Analysis,penetration testing,ethical hacking,risk analysis
jaymin-patel-2210206,https://www.linkedin.com/in/jaymin-patel-2210206,1: NoSQL databases 2: XAML programming 3: ASP.NET Core development,nosql databases,xaml programming,asp.net core development
owais-khan-6949b814,https://www.linkedin.com/in/owais-khan-6949b814,1: Envelope shaping 2: Modular patching 3: Sound design,envelope shaping,modular patching,sound design
manish-sehgal-577b525,https://www.linkedin.com/in/manish-sehgal-577b525,1: VPN Configuration 2: IP Routing 3: Azure Networking Design,vpn configuration,ip routing,azure networking design
berdnikovdmitry,https://www.linkedin.com/in/berdnikovdmitry,1: Data Visualization 2: Data Analysis 3: Data Wrangling,data visualization,data analysis,data wrangling
apexflash,https://www.linkedin.com/in/apexflash,1: Web Development 2: Full-Stack Development 3: Ruby on Rails,web development,full-stack development,ruby on rails
xinyuaprilliang,https://www.linkedin.com/in/xinyuaprilliang,1: Data analysis 2: Machine learning 3: Statistical analysis,data analysis,machine learning,statistical analysis
yongliangli,https://www.linkedin.com/in/yongliangli,1: Web development 2: MVC architecture 3: API design,web development,mvc architecture,api design
andrei-roman-138822188,https://www.linkedin.com/in/andrei-roman-138822188,1: Mechanical Design 2: PCB Layout 3: Video Editing,mechanical design,pcb layout,video editing
steven-sucy-345b0292,https://www.linkedin.com/in/steven-sucy-345b0292,1: Object-oriented programming 2: Cross-platform application development 3: Advanced automation scripting,object-oriented programming,cross-platform application development,advanced automation scripting
uday-teja-haridasu-564374107,https://www.linkedin.com/in/uday-teja-haridasu-564374107,1: Sound design 2: PCB layout 3: Schematic capture,sound design,pcb layout,schematic capture
sumit-kumar-73492042,https://www.linkedin.com/in/sumitkumar10,1: Data Analysis  2: Statistical Modeling  3: Data Visualization,data analysis,statistical modeling,data visualization
ahadwasim,https://www.linkedin.com/in/ahadwasim,1: Module bundling 2: WebSocket programming 3: Task automation,module bundling,websocket programming,task automation
jonathan-chan-047134111,https://www.linkedin.com/in/jonathan-chan-047134111,1: gRPC development 2: Site reliability 3: Content marketing,grpc development,site reliability,content marketing
samantha-greer-a5561a91,https://www.linkedin.com/in/samantha-greer-m,1: Network Configuration  2: Routing Protocols  3: CCNP Certification,network configuration,routing protocols,ccnp certification
victoriapratt01,https://www.linkedin.com/in/victoriapratt01,1: Cloud architecture design 2: Digital transformation strategy 3: Cloud computing fundamentals,cloud architecture design,digital transformation strategy,cloud computing fundamentals
vitalii-antoniuk-a6300754,https://www.linkedin.com/in/vitalii-antoniuk-a6300754,1: Website Content Management 2: Data Analysis with SQL 3: Functional Programming Concepts,website content management,data analysis with sql,functional programming concepts
pinchera,https://www.linkedin.com/in/pinchera,1: Manage virtual storage 2: Configure vSphere 7 3: Server administration,manage virtual storage,configure vsphere 7,server administration
gunakar-maddi-84454598,https://www.linkedin.com/in/gunakar-maddi-84454598,1: Technology leadership 2: Perl programming 3: Data engineering,technology leadership,perl programming,data engineering
higginsn,https://www.linkedin.com/in/higginsn,1: Database management 2: Digital marketing strategy 3: Serverless application development,database management,digital marketing strategy,serverless application development
chuck-onwuzuruike-84114a130,https://www.linkedin.com/in/chuck-onwuzuruike-84114a130,1: AI strategy development 2: Cloud architecture design 3: Agile transformation,ai strategy development,cloud architecture design,agile transformation
kumarasastry,https://www.linkedin.com/in/kumarasastry,1: Machine Learning 2: Neural Networks 3: Data Analysis,machine learning,neural networks,data analysis
dana-smoller,https://www.linkedin.com/in/dana-smoller,1: Market research 2: Presentation design 3: Slide creation,market research,presentation design,slide creation
barryjjohnson11,https://www.linkedin.com/in/barryjjohnson11,1: Software development fundamentals 2: Responsive web design principles 3: Python coding proficiency,software development fundamentals,responsive web design principles,python coding proficiency
ryan-powell-292907244,https://www.linkedin.com/in/ryan-powell-292907244,1: Cloud-native development  2: Test automation  3: Python programming ,cloud-native development,test automation,python programming
lakshmi-narasimham-peesapati-16918227,https://www.linkedin.com/in/lakshmi-narasimham-peesapati-16918227,1: Statistical modeling 2: Text analysis 3: Clustering algorithms,statistical modeling,text analysis,clustering algorithms
shinha,https://www.linkedin.com/in/shinha,1: Build dynamic websites 2: Test-driven development 3: ASP.NET Core fundamentals,build dynamic websites,test-driven development,asp.net core fundamentals
jkanji,https://www.linkedin.com/in/jkanji,1: iOS navigation 2: Photo editing 3: Apple Watch usage,ios navigation,photo editing,apple watch usage
doug-beck-4206b141,https://www.linkedin.com/in/doug-beck,1: API development 2: Web services 3: Websocket communication,api development,web services,websocket communication
ganesh-zilpe-4a385ba1,https://www.linkedin.com/in/ganesh-zilpe-4a385ba1,1: Data Manipulation 2: Socket Programming 3: GUI Development,data manipulation,socket programming,gui development
jacob-smith-41a53a53,https://www.linkedin.com/in/jacob-smith-41a53a53,1: 3D modeling 2: C++ programming 3: Finite element analysis,3d modeling,c++ programming,finite element analysis
ajithkumar-sreekumar-57567577,https://www.linkedin.com/in/ajithkumar-sreekumar-57567577,1: Sound design 2: Microcontroller programming 3: Audio engineering,sound design,microcontroller programming,audio engineering
jesse-mrasek-38b78b53,https://www.linkedin.com/in/jesse-mrasek,1: Automate tasks 2: Manage users 3: Secure devices,automate tasks,manage users,secure devices
vprotsyk,https://www.linkedin.com/in/vprotsyk,1: Multithreading 2: Concurrency 3: Debugging,multithreading,concurrency,debugging
tianyuan-chen-b20462a4,https://www.linkedin.com/in/tianyuan-chen-b20462a4,1: Debugging code 2: Machine learning 3: iOS programming,debugging code,machine learning,ios programming
behshadmohebali,https://www.linkedin.com/in/behshadmohebali,1: Asynchronous programming 2: DevOps principles 3: Time management,asynchronous programming,devops principles,time management
joao-marcos-eloy,https://www.linkedin.com/in/joao-marcos-eloy,1: iOS Development 2: SwiftUI Development 3: Test-Driven Development,ios development,swiftui development,test-driven development
vinayctechnofunctional,https://www.linkedin.com/in/vinayctechnofunctional,1: Data Integration 2: SQL Programming 3: Cloud Architecture,data integration,sql programming,cloud architecture
austin-moore2017,https://www.linkedin.com/in/austin-moore2017,1: Network configuration 2: Network troubleshooting 3: Routing protocols,network configuration,network troubleshooting,routing protocols
toddsimpson1,https://www.linkedin.com/in/toddsimpson1,1: Network security 2: Virtualization management 3: Remote access configuration,network security,virtualization management,remote access configuration
michaelkduke,https://www.linkedin.com/in/michaelkduke,1: Data analysis 2: Product management 3: Data cleaning,data analysis,product management,data cleaning
aneesh-akella-9065b4112,https://www.linkedin.com/in/aneesh-akella-9065b4112,1: Data Manipulation 2: Efficient Coding 3: Data Engineering,data manipulation,efficient coding,data engineering
athinder-patlola-7924a746,https://www.linkedin.com/in/athinder-patlola-7924a746,1: Asynchronous Programming 2: Parallel Programming 3: Concurrent Programming,asynchronous programming,parallel programming,concurrent programming
connor-wright-562561157,https://www.linkedin.com/in/connor-wright-562561157,1: Test automation  2: Continuous integration  3: Package management,test automation,continuous integration,package management
nelson-rodriguez-11ab8b7,https://www.linkedin.com/in/nelson-rodriguez-11ab8b7,1: Object-oriented programming 2: Cross-platform development 3: Multithreading,object-oriented programming,cross-platform development,multithreading
kumar-mani-chandra-yelisetty-241047166,https://www.linkedin.com/in/kumaryelisetty,1: Array manipulation 2: Machine learning fundamentals 3: Full-stack development,array manipulation,machine learning fundamentals,full-stack development
sumeet-pannu-9202ab131,https://www.linkedin.com/in/spannu79,1: Deploying Spring Boot applications 2: Building microservices with Spring Boot 3: Dockerizing Spring Boot applications,deploying spring boot applications,building microservices with spring boot,dockerizing spring boot applications
naziha-kibria-506601196,https://www.linkedin.com/in/naziha-kibria-506601196,1: Customer Retention 2: Java Migration 3: Electronics Soldering,customer retention,java migration,electronics soldering
amandavharris13,https://www.linkedin.com/in/amandavharris13,1: Java programming 2: Eclipse IDE 3: Java development,java programming,eclipse ide,java development
matthewdsmock,https://www.linkedin.com/in/matthewdsmock,1: Data analysis  2: Decision-making  3: Campaign personalization,data analysis,decision-making,campaign personalization
mfarazian,https://www.linkedin.com/in/mfarazian,1: Envelope manipulation 2: Modular synthesis 3: Data analysis,envelope manipulation,modular synthesis,data analysis
ezra-layson-637621b1,https://www.linkedin.com/in/ezra-layson-637621b1,1: Data analysis 2: Problem solving 3: Communication,data analysis,problem solving,communication
elyserinne,https://www.linkedin.com/in/elyserinne,1: Module bundling  2: Reactive programming  3: JavaScript compilation,module bundling,reactive programming,javascript compilation
roberto-chi-a388874b,https://www.linkedin.com/in/roberto-chi-a388874b,1: Project planning 2: Process improvement 3: Finite element analysis,project planning,process improvement,finite element analysis
alindansiy,https://www.linkedin.com/in/alindansiy,1: Windows installation 2: Network security management 3: Cloud computing concepts,windows installation,network security management,cloud computing concepts
michael-kochera,https://www.linkedin.com/in/michael-kochera,1: Model Deployment 2: GitHub Proficiency 3: Secure Coding Practices,model deployment,github proficiency,secure coding practices
aaron-shea-63aa08b7,https://www.linkedin.com/in/aaron-shea-63aa08b7,1: Network configuration 2: Video conferencing 3: Webinar hosting,network configuration,video conferencing,webinar hosting
kmmrinal,https://www.linkedin.com/in/kmmrinal,1: Java development 2: JavaScript development 3: Cloud computing,java development,javascript development,cloud computing
ganeshsekaran,https://www.linkedin.com/in/ganeshsekaran,1: Exception Management 2: Serverless Computing 3: Cloud Architecture,exception management,serverless computing,cloud architecture
aditya-prabhu-79ba1010b,https://www.linkedin.com/in/adityalprabhu,1: WebSocket programming 2: Webpack configuration 3: Full-stack development,websocket programming,webpack configuration,full-stack development
aishwarya-mallampati-860551118,https://www.linkedin.com/in/aishwarya-mallampati-860551118,1: Data manipulation 2: Exception management 3: Kotlin programming,data manipulation,exception management,kotlin programming
greghalgren,https://www.linkedin.com/in/greghalgren,1: Storage Management  2: Data Protection  3: Performance Optimization,storage management,data protection,performance optimization
mattiatoso,https://www.linkedin.com/in/mattiatoso,1: Mobile App Design 2: API Integration 3: Machine Learning,mobile app design,api integration,machine learning
steph-o-98b28b196,https://www.linkedin.com/in/steph-o-98b28b196,1: Data analysis 2: Data visualization 3: Machine learning,data analysis,data visualization,machine learning
shumin-zhao-020b074,https://www.linkedin.com/in/shumin-zhao-020b074,1: Cloud Architecture 2: Agile Development 3: Software Testing,cloud architecture,agile development,software testing
aryaman-sinha-2473a57a,https://www.linkedin.com/in/aryaman-sinha-2473a57a,1: Continuous Delivery 2: Time Management 3: Concurrency,continuous delivery,time management,concurrency
suresh-kumar-viveganandaguruswamy-563b7788,https://www.linkedin.com/in/suresh-kumar-viveganandaguruswamy-563b7788,1: Web development 2: Java programming 3: Cloud security,web development,java programming,cloud security
chupeng-xie-b5724410,https://www.linkedin.com/in/chupeng-xie-b5724410,1: Regression analysis 2: Data manipulation 3: Statistical modeling,regression analysis,data manipulation,statistical modeling
mitali-sawant-248908108,https://www.linkedin.com/in/mitalisawant,1: WebSockets  2: REST APIs  3: Web MVC,websockets,rest apis,web mvc
doloresm,https://www.linkedin.com/in/doloresm,1: Build Android apps 2: Write unit tests 3: Use Postman,build android apps,write unit tests,use postman
matt-wiggins-amazon-loss-prevention,https://www.linkedin.com/in/matt-wiggins-amazon-loss-prevention,1: Cloud security management 2: Security incident response 3: Microsoft 365 administration,cloud security management,security incident response,microsoft 365 administration
rashmi-ramachandra,https://www.linkedin.com/in/rashmi-ramachandra,1: Test case design 2: API testing 3: Selenium automation,test case design,api testing,selenium automation
nicklaus-choo-950853a4,https://www.linkedin.com/in/nicklaus-choo,1: Neural network modeling 2: Container orchestration 3: Full-stack development,neural network modeling,container orchestration,full-stack development
orlando-magallanes-45683a17,https://www.linkedin.com/in/orlandomgr,1: Concurrent Programming 2: Web Service Development 3: Servlet Development,concurrent programming,web service development,servlet development
taylorbhoward,https://www.linkedin.com/in/taylorbhoward,1: Cloud architecture 2: Cloud security 3: Cloud management,cloud architecture,cloud security,cloud management
daniel-saunders-94189412,https://www.linkedin.com/in/daniel-saunders-94189412,1: Node.js scaling 2: Visual Studio basics 3: C# cross-platform development,node.js scaling,visual studio basics,c# cross-platform development
madhuri-grandhi-51845564,https://www.linkedin.com/in/madhuri-grandhi-51845564,1: Test case design 2: Test execution 3: Defect reporting,test case design,test execution,defect reporting
falko-dulat,https://www.linkedin.com/in/falko-dulat,1: Numerical computation 2: Stochastic modeling 3: Efficient programming,numerical computation,stochastic modeling,efficient programming
stella666,https://www.linkedin.com/in/stella666,1: Object-oriented programming 2: Serverless architecture 3: Hardware interfacing,object-oriented programming,serverless architecture,hardware interfacing
allisonwu2000,https://www.linkedin.com/in/allisonwu2000,1: Web development 2: C# programming 3: REST API integration,web development,c# programming,rest api integration
leah-holden-a00296b5,https://www.linkedin.com/in/leah-holden-developer,1: Cloud SQL management 2: Kotlin programming 3: Serverless data processing,cloud sql management,kotlin programming,serverless data processing
saivignesh-durairaj,https://www.linkedin.com/in/saivignesh-durairaj,1: Test Creation 2: Test Execution 3: Test Reporting,test creation,test execution,test reporting
andrew-miller-4845537,https://www.linkedin.com/in/andrew-t-miller,1: Microservice development 2: Software design 3: API development,microservice development,software design,api development
maulik-kapuria,https://www.linkedin.com/in/maulik-kapuria,1: OS installation 2: Performance analysis 3: Driver development,os installation,performance analysis,driver development
mykhan,https://www.linkedin.com/in/mykhan,1: Microcontroller programming 2: Operating system concepts 3: 5G network planning,microcontroller programming,operating system concepts,5g network planning
haibo-l-76564785,https://www.linkedin.com/in/haibo-l-76564785,1: Exception handling 2: Elasticsearch querying 3: Microservice development,exception handling,elasticsearch querying,microservice development
thomas-finch-2523025a,https://www.linkedin.com/in/tdfinch,1: Machine learning 2: iOS programming 3: Core ML,machine learning,ios programming,core ml
swapnil-nagvekar-2187981a,https://www.linkedin.com/in/swapnil-nagvekar-2187981a,1: Data backup 2: Database recovery 3: Cloud database migration,data backup,database recovery,cloud database migration
sara-kerestman-74021a117,https://www.linkedin.com/in/sara-kerestman,1: Process Improvement 2: Data Analysis 3: Problem Solving,process improvement,data analysis,problem solving
aman-goyal-baba55a0,https://www.linkedin.com/in/amgoyal25,1: Verilog coding   2: Arduino programming   3: Image processing  ,verilog coding,arduino programming,image processing
aparna-girme,https://www.linkedin.com/in/aparna-girme,1: Front-end development 2: Web API development 3: ASP.NET Core development,front-end development,web api development,asp.net core development
dhanushi-wijeyakulasuriya-880008104,https://www.linkedin.com/in/dhanushi-wijeyakulasuriya-880008104,1: Text analysis 2: Recommendation algorithms 3: Statistical analysis,text analysis,recommendation algorithms,statistical analysis
ganeshkrish,https://www.linkedin.com/in/ganeshkrish,1: Cloud computing fundamentals 2: .NET programming 3: C++ design patterns,cloud computing fundamentals,.net programming,c++ design patterns
gabriela-chirinos-46926b161,https://www.linkedin.com/in/gabrielachirinos,1: Data visualization 2: Machine learning 3: Data analysis,data visualization,machine learning,data analysis
marcel-soukeník-77610b5a,https://www.linkedin.com/in/marcel-soukenik,1: Mobile app testing 2: iOS app development 3: Machine learning for iOS,mobile app testing,ios app development,machine learning for ios
emily--lu,https://www.linkedin.com/in/emily--lu,1: Data extraction 2: Data transformation 3: Data loading,data extraction,data transformation,data loading
ayesha-s-9240561a,https://www.linkedin.com/in/ayesha-s-9240561a,1: FPGA design 2: Regex pattern matching 3: PCB design,fpga design,regex pattern matching,pcb design
evan-laflamme,https://www.linkedin.com/in/evan-laflamme,1: Kotlin Basics 2: Data Analysis 3: UI Design,kotlin basics,data analysis,ui design
garrettchan310,https://www.linkedin.com/in/garrettchan310,1: Unit Testing 2: Test Automation 3: API Testing,unit testing,test automation,api testing
jayati-athavale-48ab3755,https://www.linkedin.com/in/jayati-athavale-48ab3755,1: Computer-aided design  2: Accessibility standards  3: Microsoft Word proficiency,computer-aided design,accessibility standards,microsoft word proficiency
thomas-valerrianpasca-87876322,https://www.linkedin.com/in/thomas-valerrianpasca,1: Network configuration 2: C# programming 3: Web development,network configuration,c# programming,web development
wesleyl0714,https://www.linkedin.com/in/wesleyl0714,1: Web Development 2: Server Configuration 3: Cloud Architecture,web development,server configuration,cloud architecture
varun-cherukuri-231559a8,https://www.linkedin.com/in/varuncherukuri,1: Data Analysis  2: Data Engineering  3: Cloud Computing,data analysis,data engineering,cloud computing
siddhi-bhave,https://www.linkedin.com/in/siddhi-bhave,1: Data analysis  2: Web development  3: Java programming ,data analysis,web development,java programming
gautam-arakalgud-3070038b,https://www.linkedin.com/in/gautam-arakalgud-3070038b,1: Template programming 2: Concurrency management 3: Machine learning algorithms,template programming,concurrency management,machine learning algorithms
amit-bhardwaj-670a6942,https://www.linkedin.com/in/amit-bhardwaj-670a6942,1: PL/SQL development 2: Cloud data management 3: Database administration,pl/sql development,cloud data management,database administration
elmer-gabinay-71b7b897,https://www.linkedin.com/in/elmer-gabinay-71b7b897,1: Model Building  2: Data Processing  3: Conflict Resolution,model building,data processing,conflict resolution
chunhokim,https://www.linkedin.com/in/chunhokim,1: Data analysis 2: Programming 3: App development,data analysis,programming,app development
dulce-elena-silva,https://www.linkedin.com/in/dulce-elena-silva,1: Data Analysis 2: Web Development 3: Animation,data analysis,web development,animation
pierson-lund,https://www.linkedin.com/in/pierson-lund,1: Microservice Architecture 2: Dockerization Techniques 3: Serverless Development,microservice architecture,dockerization techniques,serverless development
vinay-manchundiya-05a086bb,https://www.linkedin.com/in/vinay-manchundiya,1: Augmented Reality Development 2: Git Operations Management 3: Full-Stack Web Development,augmented reality development,git operations management,full-stack web development
adrianabeyta,https://www.linkedin.com/in/adrianabeyta,1: Data modeling 2: Statistical analysis 3: Python programming,data modeling,statistical analysis,python programming
cooper-vos,https://www.linkedin.com/in/cooper-vos,1: Data analysis 2: Python programming 3: Data engineering,data analysis,python programming,data engineering
yijing-wang-682071135,https://www.linkedin.com/in/yijing-wang-682071135,1: Web development 2: Serverless computing 3: Real-time web development,web development,serverless computing,real-time web development
dheeraj-hiremath-08511a109,https://www.linkedin.com/in/dheerajhiremath,1: Django deployment 2: React development 3: Docker containerization,django deployment,react development,docker containerization
arvind-narayanamurthy-22a3177a,https://www.linkedin.com/in/arvindna,1: Data analysis 2: Statistical modeling 3: Predictive analytics,data analysis,statistical modeling,predictive analytics
chong-cai-3b11105a,https://www.linkedin.com/in/chong-cai-3b11105a,1: Model market prices 2: Analyze wavelets 3: Manage supply chains,model market prices,analyze wavelets,manage supply chains
bogdansalyp,https://www.linkedin.com/in/bogdansalyp,1: Supervised learning 2: Machine learning 3: Artificial intelligence,supervised learning,machine learning,artificial intelligence
dylankershaw,https://www.linkedin.com/in/dylankershaw,1: React Development   2: Hotwire Development   3: C++ Development  ,react development,hotwire development,c++ development
viviand17,https://www.linkedin.com/in/viviand17,1: 3D modeling 2: PCB design 3: GD&T,3d modeling,pcb design,gd&t
michael-a-7b3a83228,https://www.linkedin.com/in/michael-a-7b3a83228,1: Cloud application development 2: Containerization 3: Kubernetes orchestration,cloud application development,containerization,kubernetes orchestration
christiopherhunt,https://www.linkedin.com/in/christiopherhunt,1: Task-based programming 2: Multithreading 3: Concurrency,task-based programming,multithreading,concurrency
devakara,https://www.linkedin.com/in/devakara,1: Verilog programming 2: GitHub proficiency 3: Modular synthesis,verilog programming,github proficiency,modular synthesis
kameron-carr,https://www.linkedin.com/in/kameron-carr,1: iOS App Development 2: Data Structures 3: Design Patterns,ios app development,data structures,design patterns
thewitness,https://www.linkedin.com/in/thewitness,1: Server Management 2: Test Automation 3: Cloud Architecture Design,server management,test automation,cloud architecture design
stephen-fridella-a1a9a610,https://www.linkedin.com/in/stephen-fridella-a1a9a610,1: Object creation 2: Storage management 3: File system administration,object creation,storage management,file system administration
ortegajake,https://www.linkedin.com/in/ortegajake,1: Process improvement 2: Communication effectiveness 3: Virtual presentation,process improvement,communication effectiveness,virtual presentation
mollyvenkata,https://www.linkedin.com/in/mollyvenkata,1: Data analysis 2: Cloud architecture 3: Strategic planning,data analysis,cloud architecture,strategic planning
stevetam8,https://www.linkedin.com/in/stevetam8,1: Network troubleshooting 2: Routing and switching 3: VPN configuration,network troubleshooting,routing and switching,vpn configuration
jiaxing-huang-677848162,https://www.linkedin.com/in/jiaxinghuang,1: Concurrency Programming 2: Machine Learning Fundamentals 3: REST API Integration,concurrency programming,machine learning fundamentals,rest api integration
hemkumar-somala-37728a78,https://www.linkedin.com/in/hemkumarsomala,1: Data modeling  2: Model evaluation  3: Data analysis,data modeling,model evaluation,data analysis
kellycochranrr1,https://www.linkedin.com/in/kellycochranrr1,1: Storage Configuration  2: Storage Management  3: Storage Optimization,storage configuration,storage management,storage optimization
vamsi-bedapudi-9b8465114,https://www.linkedin.com/in/wamsib,1: Machine learning 2: Python programming 3: Data analysis,machine learning,python programming,data analysis
manpreet-singh-74009b78,https://www.linkedin.com/in/manpreet-singh-74009b78,1: Test automation 2: DevOps fundamentals 3: Selenium synchronization,test automation,devops fundamentals,selenium synchronization
justin-ryan-michael,https://www.linkedin.com/in/justin-ryan-michael,1: Dockerizing Microservices 2: Database Management 3: Reactive Programming,dockerizing microservices,database management,reactive programming
khanh-nguyen-6b01b946,https://www.linkedin.com/in/khanh-nguyen-6b01b946,1: Web development 2: Full-stack development 3: Rails programming,web development,full-stack development,rails programming
