id,url,like,like_name,input_url,warning,warning_code,error
wonjunjang,https://www.linkedin.com/in/wonjunjang,"[{""course_link"":""https://www.linkedin.com/learning/asynchronous-python-boost-performance-and-efficiency-for-real-world-apps?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/dot-net-big-picture-front-end-and-ui-development?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/parallel-and-concurrent-programming-with-java-1?trk=public_profile_recommended-course""}]","[""Asynchronous Python: Boost Performance and Efficiency for Real-World Apps"","".NET Big Picture: Front-End and UI Development"",""Parallel and Concurrent Programming with Java 1""]",https://www.linkedin.com/in/wonjunjang,,,
sachi-sharma,https://www.linkedin.com/in/sachi-sharma,"[{""course_link"":""https://www.linkedin.com/learning/java-ee-8-essential-training?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/angular-creating-and-hosting-a-full-stack-site?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/jakarta-ee-servlets?trk=public_profile_recommended-course""}]","[""Java EE 8 Essential Training"",""Angular: Creating and Hosting a Full-Stack Site"",""Jakarta EE Servlets""]",https://www.linkedin.com/in/sachi-sharma,,,
nikhil-chennupati-98899b127,https://www.linkedin.com/in/nikhilchennupati,"[{""course_link"":""https://www.linkedin.com/learning/parallel-and-concurrent-programming-with-java-1?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/transition-from-java-to-go?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/java-advanced-concepts-for-high-performance-development?trk=public_profile_recommended-course""}]","[""Parallel and Concurrent Programming with Java 1"",""Transition from Java to Go"",""Java: Advanced Concepts for High-Performance Development""]",https://www.linkedin.com/in/nikhil-chennupati-98899b127,,,
amrutha-srinivasan-64937113a,https://www.linkedin.com/in/amrutha-srinivasan,"[{""course_link"":""https://www.linkedin.com/learning/ai-show-building-nlp-models-with-azure-ml-automl?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/machine-learning-and-ai-foundations-recommendations?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/building-recommender-systems-with-machine-learning-and-ai?trk=public_profile_recommended-course""}]","[""AI Show: Building NLP models with Azure ML AutoML"",""Machine Learning and AI Foundations: Recommendations"",""Building Recommender Systems with Machine Learning and AI""]",https://www.linkedin.com/in/amrutha-srinivasan-64937113a,,,
khe004,https://www.linkedin.com/in/khe004,"[{""course_link"":""https://www.linkedin.com/learning/parallel-and-concurrent-programming-with-java-1?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/learning-verilog-for-fpga-development?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/parallel-and-concurrent-programming-with-c-plus-plus-part-2?trk=public_profile_recommended-course""}]","[""Parallel and Concurrent Programming with Java 1"",""Learning Verilog for FPGA Development"",""Parallel and Concurrent Programming with C++ Part 2""]",https://www.linkedin.com/in/khe004,,,
sara-mulherin,https://www.linkedin.com/in/sara-mulherin,"[{""course_link"":""https://www.linkedin.com/learning/lean-six-sigma-foundations?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/technical-sales-the-role-of-the-sales-engineer?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/process-improvement-foundations?trk=public_profile_recommended-course""}]","[""Lean Six Sigma Foundations"",""Technical Sales: The Role of the Sales Engineer"",""Process Improvement Foundations""]",https://www.linkedin.com/in/sara-mulherin,,,
shwetasuman,https://www.linkedin.com/in/shwetasuman,"[{""course_link"":""https://www.linkedin.com/learning/json-processing-with-java-ee?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/creating-your-first-spring-boot-microservice?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/jakarta-ee-servlets?trk=public_profile_recommended-course""}]","[""JSON Processing with Java EE"",""Creating Your First Spring Boot Microservice"",""Jakarta EE Servlets""]",https://www.linkedin.com/in/shwetasuman,,,
jayakrishnan-somasekharan-nair-34bba38b,https://www.linkedin.com/in/jayakrishnansomasekharannair,"[{""course_link"":""https://www.linkedin.com/learning/java-ee-javaserver-faces-jsf?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/java-ee-bean-validation?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/java-ee-8-essential-training?trk=public_profile_recommended-course""}]","[""Java EE: JavaServer Faces JSF"",""Java EE: Bean Validation"",""Java EE 8 Essential Training""]",https://www.linkedin.com/in/jayakrishnan-somasekharan-nair-34bba38b,,,
jay-scott-b928743,https://www.linkedin.com/in/jayscott082010,"[{""course_link"":""https://www.linkedin.com/learning/azure-network-engineer-associate-az-700-cert-prep-design-and-implement-core-networking-infrastructure?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/cisco-ccna-200-301-cert-prep-2-ip-connectivity-and-services?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/comptia-a-plus-core-1-220-1101-cert-prep-6-essentials-of-networking?trk=public_profile_recommended-course""}]","[""Azure Network Engineer Associate (AZ-700) Cert Prep: Design and Implement Core Networking Infrastructure"",""Cisco CCNA (200-301) Cert Prep: 2 IP Connectivity and Services"",""CompTIA A+ Core 1 (220-1101) Cert Prep: 6 Essentials of Networking""]",https://www.linkedin.com/in/jay-scott-b928743,,,
john-bryan-ba19575a,https://www.linkedin.com/in/john-bryan-ba19575a,"[{""course_link"":""https://www.linkedin.com/learning/data-science-on-google-cloud-platform-designing-data-warehouses?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/getting-started-as-a-full-stack-web-developer?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/google-cloud-platform-gcp-essential-training-for-developers?trk=public_profile_recommended-course""}]","[""Data Science on Google Cloud Platform: Designing Data Warehouses"",""Getting Started as a Full-Stack Web Developer"",""Google Cloud Platform (GCP) Essential Training for Developers""]",https://www.linkedin.com/in/john-bryan-ba19575a,,,
yuez1989,https://www.linkedin.com/in/yuez1989,"[{""course_link"":""https://www.linkedin.com/learning/ai-show-building-nlp-models-with-azure-ml-automl?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/azure-machine-learning-development-part-1?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/essentials-of-mlops-with-azure-4-spark-mlflow-models-and-model-registry?trk=public_profile_recommended-course""}]","[""AI Show: Building NLP models with Azure ML AutoML"",""Azure Machine Learning Development: Part 1"",""Essentials of MLOps with Azure: 4 Spark MLflow Models and Model Registry""]",https://www.linkedin.com/in/yuez1989,,,
shriya-sharma,https://www.linkedin.com/in/shriya-sharma,"[{""course_link"":""https://www.linkedin.com/learning/cisco-devnet-associate-200-901-cert-prep-1-software-development-and-design?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/continuous-delivery-for-cloud-native-java-apps?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/learning-python-with-pycharm-14509667?trk=public_profile_recommended-course""}]","[""Cisco DevNet Associate (200-901) Cert Prep 1: Software Development and Design"",""Continuous Delivery for Cloud Native Java Apps"",""Learning Python with PyCharm""]",https://www.linkedin.com/in/shriya-sharma,,,
andrew-bradnan-7a04b9117,https://www.linkedin.com/in/andrew-bradnan-7a04b9117,"[{""course_link"":""https://www.linkedin.com/learning/scala-essential-training-for-data-science?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/ios-development-tips?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/grpc-in-python?trk=public_profile_recommended-course""}]","[""Scala Essential Training for Data Science"",""iOS Development Tips"",""gRPC in Python""]",https://www.linkedin.com/in/andrew-bradnan-7a04b9117,,,
siva-krish-120a88148,https://www.linkedin.com/in/siva-krish-120a88148,[],[],https://www.linkedin.com/in/siva-krish-120a88148,,,
gem-li-0018757,https://www.linkedin.com/in/gem-li-0018757,"[{""course_link"":""https://www.linkedin.com/learning/comptia-a-plus-core-1-220-1101-cert-prep-3-core-hardware?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/programming-foundations-inside-computing-hardware?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/getting-started-with-risc-v?trk=public_profile_recommended-course""}]","[""CompTIA A+ Core 1 (220-1101) Cert Prep: 3 Core Hardware"",""Programming Foundations: Inside Computing Hardware"",""Getting Started with RISC-V""]",https://www.linkedin.com/in/gem-li-0018757,,,
artem-bolshakov-b961a6118,https://www.linkedin.com/in/artem-bolshakov-b961a6118,"[{""course_link"":""https://www.linkedin.com/learning/parallel-and-concurrent-programming-with-c-plus-plus-part-2?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/lpic-2-linux-engineer-201-450-cert-prep-2-linux-kernel?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/programming-foundations-inside-computing-hardware?trk=public_profile_recommended-course""}]","[""Parallel and Concurrent Programming with C++ Part 2"",""LPIC-2 Linux Engineer (201-450) Cert Prep: 2 Linux Kernel"",""Programming Foundations: Inside Computing Hardware""]",https://www.linkedin.com/in/artem-bolshakov-b961a6118,,,
dhimnsen,https://www.linkedin.com/in/dhimnsen,"[{""course_link"":""https://www.linkedin.com/learning/training-neural-networks-in-c-plus-plus-22661958?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/ai-show-using-r-in-azure-machine-learning?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/azure-machine-learning-development-part-1?trk=public_profile_recommended-course""}]","[""Training Neural Networks in C++"",""AI Show: Using R in Azure Machine Learning"",""Azure Machine Learning Development: Part 1""]",https://www.linkedin.com/in/dhimnsen,,,
sally-carlson-088b88132,https://www.linkedin.com/in/sally-carlson-088b88132,"[{""course_link"":""https://www.linkedin.com/learning/aws-for-developers-data-driven-serverless-applications-with-kinesis-2019?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/javascript-essential-training?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/react-working-with-apis-22613064?trk=public_profile_recommended-course""}]","[""AWS for Developers: Data-Driven Serverless Applications with Kinesis (2019)"",""JavaScript Essential Training"",""React: Working with APIs""]",https://www.linkedin.com/in/sally-carlson-088b88132,,,
shri-deshpande,https://www.linkedin.com/in/shri-deshpande,"[{""course_link"":""https://www.linkedin.com/learning/learning-modular-synthesis-eurorack-expansion?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/lpic-2-linux-engineer-201-450-cert-prep-1-capacity-planning?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/foundations-of-synthesis-asdr-envelopes?trk=public_profile_recommended-course""}]","[""Learning Modular Synthesis: Eurorack Expansion"",""LPIC-2 Linux Engineer (201-450) Cert Prep: 1 Capacity Planning"",""Foundations of Synthesis: ASDR Envelopes""]",https://www.linkedin.com/in/shri-deshpande,,,
daniel-tran-a9339333,https://www.linkedin.com/in/daniel-tran-a9339333,"[{""course_link"":""https://www.linkedin.com/learning/comptia-a-plus-core-2-220-1102-cert-prep-5-troubleshooting-operating-systems?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/building-apps-with-ai-tools-chatgpt-semantic-kernel-and-langchain?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/lpic-2-linux-engineer-201-450-cert-prep-2-linux-kernel?trk=public_profile_recommended-course""}]","[""CompTIA A+ Core 2 (220-1102) Cert Prep: 5 Troubleshooting Operating Systems"",""Building Apps with AI Tools: ChatGPT, Semantic Kernel, and Langchain"",""LPIC-2 Linux Engineer (201-450) Cert Prep: 2 Linux Kernel""]",https://www.linkedin.com/in/daniel-tran-a9339333,,,
william-johnson-b08002116,https://www.linkedin.com/in/william-johnson-b08002116,"[{""course_link"":""https://www.linkedin.com/learning/building-java-microservices-with-grpc?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/cisco-devnet-associate-200-901-cert-prep-1-software-development-and-design?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/java-practice-collections?trk=public_profile_recommended-course""}]","[""Building Java Microservices with gRPC"",""Cisco DevNet Associate (200-901) Cert Prep 1: Software Development and Design"",""Java Practice: Collections""]",https://www.linkedin.com/in/william-johnson-b08002116,,,
haodongzhang,https://www.linkedin.com/in/haodongzhang,"[{""course_link"":""https://www.linkedin.com/learning/spring-with-graphql?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/build-spring-boot-apps-with-the-kotlin-programming-language?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/java-for-all-platforms-desktop-web-and-mobile-development?trk=public_profile_recommended-course""}]","[""Spring with GraphQL"",""Build Spring Boot Apps with the Kotlin Programming Language"",""Java for All Platforms: Desktop, Web, and Mobile Development""]",https://www.linkedin.com/in/haodongzhang,,,
joseph-sackett-700262a2,https://www.linkedin.com/in/joseph-sackett-700262a2,"[{""course_link"":""https://www.linkedin.com/learning/windows-server-2012-r2-configure-and-manage-active-directory?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/windows-server-2016-active-directory-certificate-services?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/windows-server-2022-dhcp-and-dns-15012768?trk=public_profile_recommended-course""}]","[""Windows Server 2012 R2: Configure and Manage Active Directory"",""Windows Server 2016: Active Directory Certificate Services"",""Windows Server 2022: DHCP and DNS""]",https://www.linkedin.com/in/joseph-sackett-700262a2,,,
atul-madhavan-3934785,https://www.linkedin.com/in/atul-madhavan-3934785,[],[],https://www.linkedin.com/in/atul-madhavan-3934785,,,
edgard-solorzano-2b9987100,https://www.linkedin.com/in/edgard-s,"[{""course_link"":""https://www.linkedin.com/learning/building-full-stack-apps-with-react-and-spring?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/continuous-delivery-for-cloud-native-java-apps?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/running-spring-boot-in-production?trk=public_profile_recommended-course""}]","[""Building Full-Stack Apps with React and Spring"",""Continuous Delivery for Cloud Native Java Apps"",""Running Spring Boot in Production""]",https://www.linkedin.com/in/edgard-solorzano-2b9987100,,,
jiaxin-kalyssa-wang,https://www.linkedin.com/in/jiaxin-kalyssa-wang,"[{""course_link"":""https://www.linkedin.com/learning/introduction-to-web-design-and-development-14628245?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/building-a-resilient-web?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/succeeding-in-web-development-full-stack-and-front-end?trk=public_profile_recommended-course""}]","[""Introduction to Web Design and Development"",""Building a Resilient Web"",""Succeeding in Web Development: Full Stack and Front End""]",https://www.linkedin.com/in/jiaxin-kalyssa-wang,,,
tejttrivedi,https://www.linkedin.com/in/tejttrivedi,"[{""course_link"":""https://www.linkedin.com/learning/practice-it-php-with-mysql?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/azure-database-administrator-associate-dp-300-cert-prep-1-the-azure-data-platform?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/aws-for-developers-amazon-corretto-and-java?trk=public_profile_recommended-course""}]","[""Practice It: PHP with MySQL"",""Azure Database Administrator Associate (DP-300) Cert Prep: 1 The Azure Data Platform"",""AWS for Developers: Amazon Corretto and Java""]",https://www.linkedin.com/in/tejttrivedi,,,
tusharvatsa32,https://www.linkedin.com/in/tusharvatsa32,"[{""course_link"":""https://www.linkedin.com/learning/ai-workshop-build-a-neural-network-with-pytorch-lightning?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/introduction-to-artificial-intelligence?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/introduction-to-aws-deeplens?trk=public_profile_recommended-course""}]","[""AI Workshop: Build a Neural Network with PyTorch Lightning"",""Introduction to Artificial Intelligence"",""Introduction to AWS DeepLens""]",https://www.linkedin.com/in/tusharvatsa32,,,
kirandintakurthi,https://www.linkedin.com/in/kirandintakurthi,"[{""course_link"":""https://www.linkedin.com/learning/c-programming-for-embedded-applications-14537235?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/cloud-computing-understanding-private-cloud-options?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/ccsk-cert-prep-1-cloud-architecture?trk=public_profile_recommended-course""}]","[""C Programming for Embedded Applications"",""Cloud Computing: Understanding Private Cloud Options"",""CCSK Cert Prep: 1 Cloud Architecture""]",https://www.linkedin.com/in/kirandintakurthi,,,
pedramgharghabi,https://www.linkedin.com/in/pedramgharghabi,"[{""course_link"":""https://www.linkedin.com/learning/aligning-your-values-with-work-life-and-everything-in-between?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/mixing-and-sound-design-multimode-filters?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/learning-altium?trk=public_profile_recommended-course""}]","[""Aligning Your Values with Work, Life, and Everything In Between"",""Mixing and Sound Design: Multimode Filters"",""Learning Altium""]",https://www.linkedin.com/in/pedramgharghabi,,,
yang-merphous-liu,https://www.linkedin.com/in/yang-merphous-liu,[],[],https://www.linkedin.com/in/yang-merphous-liu,,,
daniel-kanorelli-87071522a,https://www.linkedin.com/in/danieljkanorelli,[],[],https://www.linkedin.com/in/daniel-kanorelli-87071522a,,,
zacharyzzhou,https://www.linkedin.com/in/zacharyzzhou,[],[],https://www.linkedin.com/in/zacharyzzhou,,,
yanx,https://www.linkedin.com/in/yanx,"[{""course_link"":""https://www.linkedin.com/learning/amazon-web-services-machine-learning-essential-training?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/cloud-native-development-using-java-with-eclipse-microprofile-21972587?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/cert-prep-kubernetes-and-cloud-native-security-associate-kcsa?trk=public_profile_recommended-course""}]","[""Amazon Web Services Machine Learning Essential Training"",""Cloud-Native Development Using Java with Eclipse MicroProfile"",""Cert Prep: Kubernetes and Cloud Native Security Associate (KCSA)""]",https://www.linkedin.com/in/yanx,,,
ariesyin,https://www.linkedin.com/in/ariesyin/en,"[{""course_link"":""https://www.linkedin.com/learning/numpy-essential-training-1-foundations-of-numpy?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/python-in-excel?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/python-functions-for-data-science?trk=public_profile_recommended-course""}]","[""NumPy Essential Training: 1 Foundations of NumPy"",""Python in Excel"",""Python Functions for Data Science""]",https://www.linkedin.com/in/ariesyin,,,
deepthi-ravuru-8434b6201,https://www.linkedin.com/in/deepthi-ravuru-8434b6201,"[{""course_link"":""https://www.linkedin.com/learning/solidworks-3d-printed-product-enclosure?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/learning-matlab-22871829?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/nano-tips-for-building-a-career-in-cybersecurity?trk=public_profile_recommended-course""}]","[""SOLIDWORKS: 3D Printed Product Enclosure"",""Learning MATLAB"",""Nano Tips For Building a Career in Cybersecurity""]",https://www.linkedin.com/in/deepthi-ravuru-8434b6201,,,
nirupama-chakkera-08405167,https://www.linkedin.com/in/nirupama-chakkera-8405167,"[{""course_link"":""https://www.linkedin.com/learning/software-testing-foundations-test-management?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/software-testing-foundations-testing-throughout-the-sdlc?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/test-automation-with-python-9-designing-your-test-suite?trk=public_profile_recommended-course""}]","[""Software Testing Foundations: Test Management"",""Software Testing Foundations: Testing throughout the SDLC"",""Test Automation with Python: 9 Designing Your Test Suite""]",https://www.linkedin.com/in/nirupama-chakkera-08405167,,,
ganeshsanjayshete,https://www.linkedin.com/in/ganeshsanjayshete,"[{""course_link"":""https://www.linkedin.com/learning/excel-statistical-process-control?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/improve-communication-using-lean-thinking?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/purchasing-foundations?trk=public_profile_recommended-course""}]","[""Excel: Statistical Process Control"",""Improve Communication Using Lean Thinking"",""Purchasing Foundations""]",https://www.linkedin.com/in/ganeshsanjayshete,,,
gaurav-kulkarni-a437a99b,https://www.linkedin.com/in/gaurav-kulkarni-letsstayconnected,"[{""course_link"":""https://www.linkedin.com/learning/introduction-to-micropython-and-physical-computing?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/comptia-a-plus-core-1-220-1101-cert-prep-7-wireless-the-internet-and-cloud-computing?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/debugging-c-code?trk=public_profile_recommended-course""}]","[""Introduction to MicroPython and Physical Computing"",""CompTIA A+ Core 1 (220-1101) Cert Prep: 7 Wireless, the Internet, and Cloud Computing"",""Debugging C Code""]",https://www.linkedin.com/in/gaurav-kulkarni-a437a99b,,,
sean-murphy-9028b05,https://www.linkedin.com/in/sean-murphy-9028b05,[],[],https://www.linkedin.com/in/sean-murphy-9028b05?_l=en_us,,,
gillettnick,https://www.linkedin.com/in/gillettnick,"[{""course_link"":""https://www.linkedin.com/learning/learning-mastercam-for-solidworks?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/fusion-360-cnc-topographic-site-models?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/siemens-nx-design-for-injection-molding?trk=public_profile_recommended-course""}]","[""Learning Mastercam for SOLIDWORKS"",""Fusion 360: CNC Topographic Site Models"",""Siemens NX: Design for Injection Molding""]",https://www.linkedin.com/in/gillettnick,,,
aashray-aggarwal-448172144,https://www.linkedin.com/in/aashrayaggarwal,"[{""course_link"":""https://www.linkedin.com/learning/kali-linux-essential-training?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/introduction-to-kali-linux-for-penetration-testing-and-ethical-hacking?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/sscp-cert-prep-3-risk-identification-monitoring-and-analysis-14354875?trk=public_profile_recommended-course""}]","[""Kali Linux Essential Training"",""Introduction to Kali Linux for Penetration Testing and Ethical Hacking"",""SSCP Cert Prep: 3 Risk Identification, Monitoring, and Analysis""]",https://www.linkedin.com/in/aashray-aggarwal-448172144,,,
